,Date,NTD/USD
0,20100104,31.898000000000003
1,20100105,31.86
2,20100106,31.875
3,20100107,31.877
4,20100108,31.88
5,20100111,31.78
6,20100112,31.79
7,20100113,31.809
8,20100114,31.755
9,20100115,31.828000000000003
10,20100118,31.79
11,20100119,31.8
12,20100120,31.99
13,20100121,31.919
14,20100122,31.98
15,20100125,31.97
16,20100126,32.055
17,20100127,32.08
18,20100128,31.999000000000002
19,20100129,31.99
20,20100201,32.101
21,20100202,32.06
22,20100203,32.0
23,20100204,32.02
24,20100205,32.187
25,20100206,32.184
26,20100208,32.195
27,20100209,32.1
28,20100210,32.066
29,20100211,32.045
30,20100212,32.1
31,20100222,32.099000000000004
32,20100223,32.05
33,20100224,32.09
34,20100225,32.12
35,20100226,32.085
36,20100301,32.048
37,20100302,32.039
38,20100303,32.004
39,20100304,31.988000000000003
40,20100305,32.02
41,20100308,31.89
42,20100309,31.85
43,20100310,31.846999999999998
44,20100311,31.846999999999998
45,20100312,31.84
46,20100315,31.82
47,20100316,31.82
48,20100317,31.747
49,20100318,31.825
50,20100319,31.799
51,20100322,31.886
52,20100323,31.85
53,20100324,31.845
54,20100325,31.88
55,20100326,31.88
56,20100329,31.815
57,20100330,31.81
58,20100331,31.819000000000003
59,20100401,31.788
60,20100402,31.759
61,20100406,31.695
62,20100407,31.628
63,20100408,31.701
64,20100409,31.615
65,20100412,31.56
66,20100413,31.58
67,20100414,31.46
68,20100415,31.375
69,20100416,31.39
70,20100419,31.491999999999997
71,20100420,31.447
72,20100421,31.388
73,20100422,31.398000000000003
74,20100423,31.46
75,20100426,31.359
76,20100427,31.412
77,20100428,31.539
78,20100429,31.45
79,20100430,31.418000000000003
80,20100503,31.519000000000002
81,20100504,31.46
82,20100505,31.6
83,20100506,31.749000000000002
84,20100507,31.85
85,20100510,31.6
86,20100511,31.829
87,20100512,31.893
88,20100513,31.778000000000002
89,20100514,31.848000000000003
90,20100517,32.1
91,20100518,31.978
92,20100519,32.098
93,20100520,32.175
94,20100521,32.25
95,20100524,32.175
96,20100525,32.385
97,20100526,32.345
98,20100527,32.187
99,20100528,32.175
100,20100531,32.225
101,20100601,32.418
102,20100602,32.315
103,20100603,32.275
104,20100604,32.35
105,20100607,32.528
106,20100608,32.51
