datetime,open,high,low,close,volume
0,2013-10-18,978.000,984.000,962.000,977.000,300818
1,2013-10-21,976.000,977.000,960.000,969.000,95432
2,2013-10-22,963.000,966.000,948.000,948.000,91296
3,2013-10-23,949.000,953.000,936.000,939.000,116490
4,2013-10-24,938.000,939.000,916.000,926.000,169028
5,2013-10-25,928.000,936.000,917.000,918.000,104060
6,2013-10-28,920.000,928.000,917.000,923.000,83790
7,2013-10-29,924.000,925.000,913.000,921.000,105876
8,2013-10-30,919.000,930.000,916.000,924.000,118272
9,2013-10-31,925.000,927.000,920.000,922.000,74672
10,2013-11-01,921.000,954.000,921.000,942.000,321242
11,2013-11-04,943.000,957.000,942.000,950.000,175080
12,2013-11-05,948.000,954.000,943.000,946.000,108384
13,2013-11-06,949.000,951.000,942.000,944.000,69362
14,2013-11-07,945.000,947.000,939.000,945.000,91676
15,2013-11-08,947.000,948.000,936.000,939.000,66340
16,2013-11-11,940.000,944.000,934.000,942.000,57564
17,2013-11-12,940.000,944.000,936.000,943.000,45594
18,2013-11-13,941.000,952.000,940.000,943.000,96484
19,2013-11-14,940.000,944.000,937.000,937.000,55752
20,2013-11-15,939.000,942.000,930.000,931.000,76014
21,2013-11-18,931.000,935.000,925.000,932.000,52704
22,2013-11-19,931.000,943.000,930.000,942.000,60164
23,2013-11-21,942.000,943.000,932.000,932.000,41322
24,2013-11-22,934.000,935.000,929.000,931.000,52592
25,2013-11-25,933.000,936.000,928.000,933.000,38196
26,2013-11-26,934.000,943.000,934.000,941.000,72650
27,2013-11-27,940.000,942.000,933.000,936.000,30614
28,2013-11-28,933.000,940.000,933.000,939.000,27220
29,2013-11-29,939.000,945.000,939.000,939.000,33364
30,2013-12-02,940.000,941.000,934.000,936.000,41520
31,2013-12-03,938.000,941.000,936.000,939.000,35426
32,2013-12-04,942.000,955.000,941.000,952.000,94420
33,2013-12-05,953.000,956.000,944.000,945.000,52990
34,2013-12-06,944.000,945.000,938.000,941.000,40044
35,2013-12-09,941.000,946.000,940.000,945.000,19390
36,2013-12-10,946.000,947.000,942.000,942.000,16900
