Date,Price,Open,High,Low,Vol.,Change %
0,2010-01-04,"1,117.70","1,097.10","1,122.30","1,097.10",0.18K,2.05%
1,2010-01-05,"1,118.10","1,122.00","1,126.50","1,115.00",0.05K,0.04%
2,2010-01-06,"1,135.90","1,120.70","1,139.20","1,120.70",0.36K,1.59%
3,2010-01-07,"1,133.10","1,132.10","1,133.00","1,129.20",0.06K,-0.25%
4,2010-01-08,"1,138.20","1,124.90","1,136.90","1,122.70",0.05K,0.45%
5,2010-01-11,"1,150.70","1,143.00","1,161.20","1,143.00",0.18K,1.10%
6,2010-01-12,"1,128.90","1,155.00","1,157.20","1,127.20",0.05K,-1.89%
7,2010-01-13,"1,136.40","1,128.10","1,136.40","1,121.00",0.06K,0.66%
8,2010-01-14,"1,142.60","1,137.00","1,145.90","1,132.80",0.08K,0.55%
9,2010-01-15,"1,130.10","1,132.80","1,133.40","1,127.20",0.05K,-1.09%
10,2010-01-19,"1,139.70","1,131.10","1,138.40","1,130.50",0.02K,0.85%
11,2010-01-20,"1,112.30","1,133.00","1,133.00","1,109.80",0.03K,-2.40%
12,2010-01-21,"1,102.70","1,104.80","1,107.50","1,089.80",0.10K,-0.86%
13,2010-01-22,"1,089.20","1,091.40","1,095.40","1,083.00",0.06K,-1.22%
14,2010-01-25,"1,095.20","1,100.40","1,100.40","1,095.40",0.01K,0.55%
15,2010-01-26,"1,097.90","1,094.70","1,094.70","1,093.00",0.00K,0.25%
16,2010-01-27,"1,084.40","1,094.40","1,094.40","1,091.00",0.00K,-1.23%
17,2010-01-28,"1,083.60","1,087.80","1,095.70","1,073.20",101.17K,-0.07%
18,2010-01-29,"1,083.00","1,085.00","1,090.80","1,074.50",11.46K,-0.06%
19,2010-02-01,"1,104.30","1,081.00","1,107.30","1,076.80",2.45K,1.97%
20,2010-02-02,"1,117.40","1,106.80","1,118.50","1,100.20",3.33K,1.19%
21,2010-02-03,"1,111.40","1,115.80","1,124.90","1,108.60",0.85K,-0.54%
22,2010-02-04,"1,062.40","1,110.00","1,110.70","1,059.00",1.43K,-4.41%
23,2010-02-05,"1,052.20","1,068.30","1,068.50","1,045.20",1.96K,-0.96%
24,2010-02-08,"1,065.70","1,067.50","1,073.40","1,061.60",0.55K,1.28%
25,2010-02-09,"1,076.70","1,063.40","1,082.00","1,063.10",0.39K,1.03%
26,2010-02-10,"1,075.80","1,078.00","1,081.10","1,063.30",0.64K,-0.08%
27,2010-02-11,"1,094.20","1,076.80","1,097.10","1,075.60",1.49K,1.71%
28,2010-02-12,"1,089.50","1,089.60","1,092.00","1,079.80",0.20K,-0.43%
29,2010-02-16,"1,119.30","1,094.80","1,120.40","1,092.40",0.93K,2.74%
30,2010-02-17,"1,119.50","1,116.40","1,127.00","1,108.50",1.08K,0.02%
31,2010-02-18,"1,118.00","1,104.50","1,123.70","1,100.80",0.99K,-0.13%
32,2010-02-19,"1,121.30","1,107.30","1,126.20","1,099.70",0.14K,0.30%
33,2010-02-22,"1,112.60","1,123.40","1,127.40","1,110.00",0.12K,-0.78%
34,2010-02-23,"1,102.70","1,116.40","1,118.30","1,102.60",0.15K,-0.89%
35,2010-02-24,"1,096.50","1,106.20","1,106.30","1,091.90",0.18K,-0.56%
36,2010-02-25,"1,107.80","1,100.60","1,108.20","1,088.70",0.39K,1.03%
37,2010-02-26,"1,118.30","1,106.80","1,118.20","1,106.80",0.38K,0.95%
38,2010-03-01,"1,117.80","1,119.30","1,121.90","1,113.60",0.18K,-0.04%
39,2010-03-02,"1,136.90","1,117.70","1,137.40","1,115.70",0.16K,1.71%
