Date,Price,Open,High,Low,Vol.,Change %
0,2010-10-25,145.0,145.0,145.0,145.0,-,0.76%
1,2010-10-26,145.1,145.1,145.1,145.1,-,0.07%
2,2010-10-27,144.5,144.5,144.5,144.5,-,-0.41%
3,2010-10-28,144.0,144.0,144.0,144.0,-,-0.35%
4,2010-10-29,147.5,147.5,147.5,147.5,-,2.43%
5,2010-11-01,146.0,146.0,146.0,146.0,-,-1.02%
6,2010-11-02,152.0,152.0,152.0,152.0,-,4.11%
7,2010-11-03,153.5,153.5,153.5,153.5,-,0.99%
8,2010-11-04,156.5,156.5,156.5,156.5,-,1.95%
9,2010-11-05,158.3,158.3,158.3,158.3,-,1.15%
10,2010-11-08,161.5,161.5,161.5,161.5,-,2.02%
11,2010-11-09,162.0,162.0,162.0,162.0,-,0.31%
12,2010-11-10,157.5,157.5,157.5,157.5,-,-2.78%
13,2010-11-11,159.0,159.0,159.0,159.0,-,0.95%
14,2010-11-12,155.8,155.8,155.8,155.8,-,-2.01%
15,2010-11-15,156.0,156.0,156.0,156.0,-,0.13%
16,2010-11-16,160.3,160.3,160.3,160.3,-,2.76%
17,2010-11-17,158.5,158.5,158.5,158.5,-,-1.12%
18,2010-11-18,158.0,158.0,158.0,158.0,-,-0.32%
19,2010-11-19,159.5,159.5,159.5,159.5,-,0.95%
20,2010-11-22,160.0,160.0,160.0,160.0,-,0.31%
21,2010-11-23,161.0,161.0,161.0,161.0,-,0.63%
22,2010-11-24,161.5,161.5,161.5,161.5,-,0.31%
23,2010-11-26,161.0,161.0,161.0,161.0,-,-0.31%
24,2010-11-29,160.5,160.5,160.5,160.5,-,-0.31%
25,2010-11-30,160.5,160.5,160.5,160.5,-,0.00%
26,2010-12-01,166.8,166.8,166.8,166.8,-,3.93%
27,2010-12-02,167.0,167.0,167.0,167.0,-,0.12%
28,2010-12-03,168.0,168.0,168.0,168.0,-,0.60%
29,2010-12-06,169.0,169.0,169.0,169.0,-,0.60%
30,2010-12-07,169.9,169.9,169.9,169.9,-,0.53%
31,2010-12-08,169.1,169.1,169.1,169.1,-,-0.47%
32,2010-12-09,168.0,168.0,168.0,168.0,-,-0.65%
33,2010-12-10,169.0,169.0,169.0,169.0,-,0.60%
34,2010-12-13,169.0,169.0,169.0,169.0,-,0.00%
35,2010-12-14,169.5,169.5,169.5,169.5,-,0.30%
36,2010-12-15,169.5,169.5,169.5,169.5,-,0.00%
37,2010-12-16,169.0,169.0,169.0,169.0,-,-0.29%
38,2010-12-17,169.0,169.0,169.0,169.0,-,0.00%
39,2010-12-20,169.0,169.0,169.0,169.0,-,0.00%
40,2010-12-21,169.0,169.0,169.0,169.0,-,0.00%
41,2010-12-22,168.8,168.8,168.8,168.8,-,-0.12%
42,2010-12-23,168.8,168.8,168.8,168.8,-,0.00%
43,2010-12-27,168.8,168.8,168.8,168.8,-,0.00%
44,2010-12-28,168.8,168.8,168.8,168.8,-,0.00%
45,2010-12-29,169.0,169.0,169.0,169.0,-,0.12%
46,2010-12-30,169.0,169.0,169.0,169.0,-,0.00%
47,2010-12-31,168.3,168.3,168.3,168.3,-,-0.41%
48,2011-01-03,170.0,170.0,170.0,170.0,-,1.01%
49,2011-01-04,172.1,172.1,172.1,172.1,-,1.24%
50,2011-01-05,174.5,174.5,174.5,174.5,-,1.39%
51,2011-01-06,173.5,173.5,173.5,173.5,-,-0.57%
52,2011-01-07,173.5,173.5,173.5,173.5,-,0.00%
53,2011-01-10,173.5,173.5,173.5,173.5,-,0.00%
54,2011-01-11,175.0,175.0,175.0,175.0,-,0.86%
55,2011-01-12,176.0,176.0,176.0,176.0,-,0.57%
56,2011-01-13,176.0,176.0,176.0,176.0,-,0.00%
57,2011-01-14,179.5,179.5,179.5,179.5,-,1.99%
58,2011-01-19,179.0,179.0,179.0,179.0,-,-0.28%
59,2011-01-20,178.0,178.0,178.0,178.0,-,-0.56%
60,2011-01-21,178.0,178.0,178.0,178.0,-,0.00%
61,2011-01-24,179.0,179.0,179.0,179.0,-,0.56%
62,2011-01-25,179.0,179.0,179.0,179.0,-,0.00%
63,2011-01-26,179.0,179.0,179.0,179.0,-,0.00%
64,2011-01-27,179.5,179.5,179.5,179.5,-,0.28%
65,2011-01-28,179.5,179.5,179.5,179.5,-,0.00%
66,2011-01-31,179.6,179.6,179.6,179.6,-,0.06%
67,2011-02-01,183.0,183.0,183.0,183.0,-,1.89%
68,2011-02-02,184.0,184.0,184.0,184.0,-,0.55%
69,2011-02-03,183.5,183.5,183.5,183.5,-,-0.27%
70,2011-02-04,183.5,183.5,183.5,183.5,-,0.00%
71,2011-02-07,184.8,184.8,184.8,184.8,-,0.71%
72,2011-02-08,185.5,185.5,185.5,185.5,-,0.38%
73,2011-02-09,185.5,185.5,185.5,185.5,-,0.00%
74,2011-02-10,188.0,188.0,188.0,188.0,-,1.35%
75,2011-02-11,188.0,188.0,188.0,188.0,-,0.00%
76,2011-02-14,188.5,188.5,188.5,188.5,-,0.27%
77,2011-02-15,188.9,188.9,188.9,188.9,-,0.21%
78,2011-02-16,187.8,187.8,187.8,187.8,-,-0.58%
79,2011-02-17,187.5,187.5,187.5,187.5,-,-0.16%
80,2011-02-18,187.5,187.5,187.5,187.5,-,0.00%
81,2011-02-22,187.7,187.7,187.7,187.7,-,0.11%
82,2011-02-23,187.6,187.6,187.6,187.6,-,-0.05%
83,2011-02-24,187.5,187.5,187.5,187.5,-,-0.05%
84,2011-02-25,187.5,187.5,187.5,187.5,-,0.00%
85,2011-02-28,187.2,187.2,187.2,187.2,-,-0.16%
86,2011-03-01,173.4,173.4,173.4,173.4,-,-7.37%
87,2011-03-02,172.0,172.0,172.0,172.0,-,-0.81%
88,2011-03-03,173.0,173.0,173.0,173.0,-,0.58%
89,2011-03-04,174.5,174.5,174.5,174.5,-,0.87%
90,2011-03-07,171.6,171.6,171.6,171.6,-,-1.66%
91,2011-03-08,171.5,171.5,171.5,171.5,-,-0.06%
92,2011-03-09,168.8,168.8,168.8,168.8,-,-1.57%
93,2011-03-10,167.8,167.8,167.8,167.8,-,-0.59%
94,2011-03-11,164.0,164.0,164.0,164.0,-,-2.26%
95,2011-03-14,163.1,163.1,163.1,163.1,-,-0.55%
96,2011-03-15,163.6,163.6,163.6,163.6,-,0.31%
97,2011-03-16,167.7,167.7,167.7,167.7,-,2.51%
98,2011-03-17,169.0,169.0,169.0,169.0,-,0.78%
99,2011-03-18,168.9,168.9,168.9,168.9,-,-0.06%
100,2011-03-21,169.3,169.3,169.3,169.3,-,0.24%
101,2011-03-22,170.0,170.0,170.0,170.0,-,0.41%
102,2011-03-23,170.0,170.0,170.0,170.0,-,0.00%
103,2011-03-24,169.4,169.4,169.4,169.4,-,-0.35%
104,2011-03-25,169.4,169.4,169.4,169.4,-,0.00%
105,2011-03-28,169.3,169.3,169.3,169.3,-,-0.06%
106,2011-03-29,169.3,169.3,169.3,169.3,-,0.00%
107,2011-03-30,169.5,169.5,169.5,169.5,-,0.12%
108,2011-03-31,174.0,174.0,174.0,174.0,-,2.65%
109,2011-04-01,171.9,171.9,171.9,171.9,-,-1.21%
110,2011-04-04,173.8,173.8,173.8,173.8,-,1.11%
111,2011-04-05,173.2,173.2,173.2,173.2,-,-0.35%
112,2011-04-06,175.0,175.0,175.0,175.0,-,1.04%
113,2011-04-07,179.3,179.3,179.3,179.3,-,2.46%
114,2011-04-08,181.0,181.0,181.0,181.0,-,0.95%
115,2011-04-11,181.1,181.1,181.1,181.1,-,0.06%
116,2011-04-12,178.9,178.9,178.9,178.9,-,-1.21%
117,2011-04-13,178.8,178.8,178.8,178.8,-,-0.06%
118,2011-04-14,179.0,179.0,179.0,179.0,-,0.11%
119,2011-04-15,179.1,179.1,179.1,179.1,-,0.06%
120,2011-04-18,179.2,179.2,179.2,179.2,-,0.06%
121,2011-04-19,179.4,179.4,179.4,179.4,-,0.11%
122,2011-04-20,179.4,179.4,179.4,179.4,-,0.00%
123,2011-04-21,179.4,179.4,179.4,179.4,-,0.00%
124,2011-04-25,179.5,179.5,179.5,179.5,-,0.06%
125,2011-04-26,179.5,179.5,179.5,179.5,-,0.00%
126,2011-04-27,179.1,179.1,179.1,179.1,-,-0.22%
127,2011-04-28,179.1,179.1,179.1,179.1,-,0.00%
128,2011-05-02,171.0,171.0,171.0,171.0,-,-4.52%
129,2011-05-03,175.8,175.8,175.8,175.8,-,2.81%
130,2011-05-04,175.0,175.0,175.0,175.0,-,-0.46%
131,2011-05-05,172.5,172.5,172.5,172.5,-,-1.43%
