Date,Price,Open,High,Low,Vol.,Change %
0,2010-01-04,"18,934.00","18,934.00","18,934.00","18,934.00",-,2.53%
1,2010-01-05,"18,648.00","18,648.00","18,648.00","18,648.00",-,-1.51%
2,2010-01-06,"19,095.00","19,095.00","19,095.00","19,095.00",-,2.40%
3,2010-01-07,"18,394.00","18,394.00","18,394.00","18,394.00",-,-3.67%
4,2010-01-08,"17,839.00","17,839.00","17,839.00","17,839.00",-,-3.02%
5,2010-01-11,"17,825.00","17,825.00","17,825.00","17,825.00",-,-0.08%
6,2010-01-12,"17,632.00","17,632.00","17,632.00","17,632.00",-,-1.08%
7,2010-01-13,"18,231.00","18,231.00","18,231.00","18,231.00",-,3.40%
8,2010-01-14,"18,229.00","18,229.00","18,229.00","18,229.00",-,-0.01%
9,2010-01-15,"18,528.00","18,528.00","18,528.00","18,528.00",-,1.64%
10,2010-01-18,"18,818.00","18,818.00","18,818.00","18,818.00",-,1.57%
11,2010-01-21,"18,892.00","18,892.00","18,892.00","18,892.00",-,0.39%
12,2010-01-22,"18,258.00","18,258.00","18,258.00","18,258.00",-,-3.36%
13,2010-01-25,"18,097.00","18,097.00","18,097.00","18,097.00",-,-0.88%
14,2010-01-26,"18,141.00","18,141.00","18,141.00","18,141.00",-,0.24%
15,2010-01-27,"18,135.00","18,135.00","18,135.00","18,135.00",-,-0.03%
16,2010-01-28,"18,290.00","18,290.00","18,290.00","18,290.00",-,0.85%
17,2010-01-29,"18,447.00","18,447.00","18,447.00","18,447.00",-,0.86%
18,2010-02-01,"17,942.00","17,942.00","17,942.00","17,942.00",-,-2.74%
19,2010-02-02,"18,237.00","18,237.00","18,237.00","18,237.00",-,1.64%
20,2010-02-03,"18,286.00","18,286.00","18,286.00","18,286.00",-,0.27%
21,2010-02-04,"17,661.00","17,661.00","17,661.00","17,661.00",-,-3.42%
22,2010-02-05,"16,984.00","16,984.00","16,984.00","16,984.00",-,-3.83%
23,2010-02-08,"17,208.00","17,208.00","17,208.00","17,208.00",-,1.32%
24,2010-02-09,"17,479.00","17,479.00","17,479.00","17,479.00",-,1.57%
25,2010-02-10,"17,639.00","17,639.00","17,639.00","17,639.00",-,0.92%
26,2010-02-11,"18,378.00","18,378.00","18,378.00","18,378.00",-,4.19%
27,2010-02-12,"18,570.00","18,570.00","18,570.00","18,570.00",-,1.04%
28,2010-02-15,"19,280.00","19,280.00","19,280.00","19,280.00",-,3.82%
29,2010-02-18,"20,398.00","20,398.00","20,398.00","20,398.00",-,5.80%
30,2010-02-19,"20,671.00","20,671.00","20,671.00","20,671.00",-,1.34%
31,2010-02-22,"20,420.00","20,420.00","20,420.00","20,420.00",-,-1.21%
32,2010-02-23,"20,137.00","20,137.00","20,137.00","20,137.00",-,-1.39%
33,2010-02-24,"20,417.00","20,417.00","20,417.00","20,417.00",-,1.39%
34,2010-02-25,"20,288.00","20,288.00","20,288.00","20,288.00",-,-0.63%
35,2010-02-26,"21,113.00","21,113.00","21,113.00","21,113.00",-,4.07%
36,2010-03-01,"21,383.00","21,383.00","21,383.00","21,383.00",-,1.28%
37,2010-03-02,"22,173.00","22,173.00","22,173.00","22,173.00",-,3.69%
38,2010-03-03,"22,779.00","22,779.00","22,779.00","22,779.00",-,2.73%
39,2010-03-04,"22,231.00","22,231.00","22,231.00","22,231.00",-,-2.41%
40,2010-03-05,"22,328.00","22,328.00","22,328.00","22,328.00",-,0.44%
41,2010-03-08,"22,231.00","22,231.00","22,231.00","22,231.00",-,-0.43%
42,2010-03-09,"22,181.00","22,181.00","22,181.00","22,181.00",-,-0.22%
43,2010-03-10,"21,450.00","21,450.00","21,450.00","21,450.00",-,-3.30%
44,2010-03-11,"21,224.00","21,224.00","21,224.00","21,224.00",-,-1.05%
45,2010-03-12,"21,685.00","21,685.00","21,685.00","21,685.00",-,2.17%
46,2010-03-15,"21,445.00","21,445.00","21,445.00","21,445.00",-,-1.11%
47,2010-03-18,"22,742.00","22,742.00","22,742.00","22,742.00",-,6.05%
48,2010-03-19,"22,431.00","22,431.00","22,431.00","22,431.00",-,-1.37%
49,2010-03-22,"22,253.00","22,253.00","22,253.00","22,253.00",-,-0.79%
50,2010-03-23,"22,475.00","22,475.00","22,475.00","22,475.00",-,1.00%
51,2010-03-24,"22,232.00","22,232.00","22,232.00","22,232.00",-,-1.08%
52,2010-03-25,"22,822.00","22,822.00","22,822.00","22,822.00",-,2.65%
53,2010-03-26,"23,588.00","23,588.00","23,588.00","23,588.00",-,3.36%
54,2010-03-29,"23,980.00","23,980.00","23,980.00","23,980.00",-,1.66%
55,2010-03-30,"24,334.00","24,334.00","24,334.00","24,334.00",-,1.48%
56,2010-03-31,"24,972.00","24,972.00","24,972.00","24,972.00",-,2.62%
57,2010-04-01,"25,022.00","25,022.00","25,022.00","25,022.00",-,0.20%
58,2010-04-06,"24,809.00","24,809.00","24,809.00","24,809.00",-,-0.85%
59,2010-04-07,"24,684.00","24,684.00","24,684.00","24,684.00",-,-0.50%
60,2010-04-08,"24,673.00","24,673.00","24,673.00","24,673.00",-,-0.04%
61,2010-04-09,"25,147.00","25,147.00","25,147.00","25,147.00",-,1.92%
62,2010-04-12,"25,724.00","25,724.00","25,724.00","25,724.00",-,2.29%
63,2010-04-13,"25,447.00","25,447.00","25,447.00","25,447.00",-,-1.08%
64,2010-04-14,"26,340.00","26,340.00","26,340.00","26,340.00",-,3.51%
65,2010-04-15,"27,166.00","27,166.00","27,166.00","27,166.00",-,3.14%
66,2010-04-16,"26,645.50","26,645.50","26,645.50","26,645.50",-,-1.92%
67,2010-04-19,"26,637.00","26,637.00","26,637.00","26,637.00",-,-0.03%
68,2010-04-22,"27,048.00","27,048.00","27,048.00","27,048.00",-,1.54%
69,2010-04-23,"27,001.00","27,001.00","27,001.00","27,001.00",-,-0.17%
70,2010-04-26,"27,104.00","27,104.00","27,104.00","27,104.00",-,0.38%
71,2010-04-27,"25,876.00","25,876.00","25,876.00","25,876.00",-,-4.53%
72,2010-04-28,"25,603.00","25,603.00","25,603.00","25,603.00",-,-1.06%
73,2010-04-29,"25,353.00","25,353.00","25,353.00","25,353.00",-,-0.98%
74,2010-04-30,"26,253.00","26,253.00","26,253.00","26,253.00",-,3.55%
75,2010-05-04,"24,601.00","24,601.00","24,601.00","24,601.00",-,-6.29%
76,2010-05-05,"21,868.00","21,868.00","21,868.00","21,868.00",-,-11.11%
77,2010-05-06,"21,992.00","21,992.00","21,992.00","21,992.00",-,0.57%
78,2010-05-07,"22,491.00","22,491.00","22,491.00","22,491.00",-,2.27%
79,2010-05-10,"22,943.00","22,943.00","22,943.00","22,943.00",-,2.01%
80,2010-05-11,"22,527.00","22,527.00","22,527.00","22,527.00",-,-1.81%
81,2010-05-12,"22,485.00","22,485.00","22,485.00","22,485.00",-,-0.19%
82,2010-05-13,"22,704.00","22,704.00","22,704.00","22,704.00",-,0.97%
83,2010-05-14,"21,483.00","21,483.00","21,483.00","21,483.00",-,-5.38%
84,2010-05-17,"20,627.00","20,627.00","20,627.00","20,627.00",-,-3.98%
85,2010-05-20,"21,149.00","21,149.00","21,149.00","21,149.00",-,2.53%
86,2010-05-21,"21,300.00","21,300.00","21,300.00","21,300.00",-,0.71%
87,2010-05-24,"22,145.00","22,145.00","22,145.00","22,145.00",-,3.97%
88,2010-05-25,"21,137.00","21,137.00","21,137.00","21,137.00",-,-4.55%
