Date,Price,Open,High,Low,Vol.,Change %
0,2010-01-04,550,570,570,570,0.00K,0.00%
1,2010-01-05,550,550,550,550,-,0.00%
2,2010-01-06,550,550,550,550,-,0.00%
3,2010-01-07,550,550,550,550,-,0.00%
4,2010-01-08,560,560,560,560,-,1.82%
5,2010-01-11,560,560,560,560,-,0.00%
6,2010-01-12,570,570,570,570,0.01K,1.79%
7,2010-01-13,570,570,570,570,-,0.00%
8,2010-01-14,570,570,570,570,-,0.00%
9,2010-01-15,570,570,570,570,-,0.00%
10,2010-01-19,570,570,570,570,-,0.00%
11,2010-01-20,570,570,570,570,-,0.00%
12,2010-01-21,570,570,570,570,-,0.00%
13,2010-01-22,570,570,570,570,-,0.00%
14,2010-01-25,570,570,570,570,-,0.00%
15,2010-01-27,570,570,570,570,-,0.00%
16,2010-01-28,570,570,570,570,-,0.00%
17,2010-01-29,570,570,570,570,-,0.00%
18,2010-02-01,585,585,585,585,-,2.63%
19,2010-02-02,585,585,585,585,-,0.00%
20,2010-02-03,595,595,595,595,-,1.71%
21,2010-02-04,595,605,605,605,-,0.00%
22,2010-02-05,595,595,595,595,-,0.00%
23,2010-02-08,595,600,600,600,-,0.00%
24,2010-02-09,595,595,595,595,-,0.00%
25,2010-02-10,595,595,595,595,-,0.00%
26,2010-02-11,595,595,595,595,-,0.00%
27,2010-02-12,595,595,595,595,-,0.00%
28,2010-02-16,595,595,595,595,-,0.00%
29,2010-02-17,595,595,595,595,-,0.00%
30,2010-02-18,600,600,600,600,-,0.84%
31,2010-02-19,600,600,600,600,-,0.00%
32,2010-02-22,600,600,600,600,-,0.00%
33,2010-02-23,600,600,600,600,-,0.00%
34,2010-02-24,630,630,630,630,-,5.00%
35,2010-02-25,630,630,630,630,-,0.00%
36,2010-02-26,630,630,630,630,-,0.00%
37,2010-03-01,630,630,630,630,-,0.00%
38,2010-03-02,630,630,630,630,-,0.00%
39,2010-03-03,635,635,635,635,-,0.79%
40,2010-03-04,635,635,635,635,-,0.00%
41,2010-03-05,650,650,650,650,-,2.36%
42,2010-03-08,650,650,650,650,-,0.00%
43,2010-03-09,650,650,650,650,-,0.00%
44,2010-03-10,635,635,635,635,-,-2.31%
45,2010-03-11,635,635,635,635,-,0.00%
46,2010-03-12,645,645,645,645,-,1.57%
47,2010-03-15,645,645,645,645,-,0.00%
48,2010-03-16,645,645,645,645,-,0.00%
49,2010-03-17,645,645,645,645,-,0.00%
50,2010-03-18,645,645,645,645,-,0.00%
51,2010-03-19,645,645,645,645,-,0.00%
52,2010-03-22,645,645,645,645,-,0.00%
53,2010-03-23,645,645,645,645,-,0.00%
54,2010-03-24,645,645,645,645,-,0.00%
55,2010-03-25,645,645,645,645,-,0.00%
56,2010-03-26,645,645,645,645,-,0.00%
57,2010-03-29,645,645,645,645,-,0.00%
58,2010-03-30,645,645,645,645,-,0.00%
59,2010-04-05,700,700,700,700,-,8.53%
60,2010-04-06,700,700,700,700,-,0.00%
61,2010-04-07,700,700,700,700,-,0.00%
62,2010-04-08,700,700,700,700,-,0.00%
63,2010-04-09,700,700,700,700,-,0.00%
64,2010-04-12,695,695,695,695,-,-0.71%
65,2010-04-13,695,695,695,695,-,0.00%
66,2010-04-14,690,690,690,690,-,-0.72%
67,2010-04-15,690,690,690,690,-,0.00%
68,2010-04-16,690,690,690,690,-,0.00%
69,2010-04-19,690,690,690,690,-,0.00%
70,2010-04-20,690,690,690,690,-,0.00%
71,2010-04-21,685,685,685,685,-,-0.72%
72,2010-04-22,685,685,685,685,-,0.00%
73,2010-04-23,685,685,685,685,-,0.00%
74,2010-04-26,685,685,685,685,-,0.00%
75,2010-04-27,685,685,685,685,-,0.00%
76,2010-04-28,690,690,690,690,-,0.73%
77,2010-04-29,690,690,690,690,-,0.00%
78,2010-04-30,690,690,690,690,-,0.00%
79,2010-05-03,690,690,690,690,-,0.00%
80,2010-05-04,690,690,690,690,-,0.00%
81,2010-05-05,695,695,695,695,-,0.72%
82,2010-05-06,695,695,695,695,-,0.00%
83,2010-05-07,695,695,695,695,-,0.00%
84,2010-05-10,695,695,695,695,-,0.00%
85,2010-05-11,695,695,695,695,-,0.00%
86,2010-05-12,695,695,695,695,-,0.00%
87,2010-05-13,685,685,685,685,-,-1.44%
88,2010-05-14,685,685,685,685,-,0.00%
89,2010-05-17,685,685,685,685,-,0.00%
90,2010-05-18,685,685,685,685,-,0.00%
91,2010-05-19,695,695,695,695,-,1.46%
92,2010-05-20,690,685,685,685,0.00K,-0.72%
93,2010-05-21,690,690,690,690,-,0.00%
94,2010-05-24,690,690,690,690,-,0.00%
95,2010-05-25,690,690,690,690,-,0.00%
96,2010-05-26,665,665,665,665,-,-3.62%
97,2010-05-27,665,665,665,665,-,0.00%
98,2010-05-28,665,665,665,665,-,0.00%
99,2010-06-01,665,665,665,665,-,0.00%
100,2010-06-02,665,665,665,665,-,0.00%
101,2010-06-03,665,665,665,665,-,0.00%
102,2010-06-04,665,665,665,665,-,0.00%
103,2010-06-07,665,665,665,665,-,0.00%
104,2010-06-09,665,665,665,665,-,0.00%
105,2010-06-10,665,665,665,665,-,0.00%
106,2010-06-11,665,665,665,665,-,0.00%
107,2010-06-14,665,665,665,665,-,0.00%
108,2010-06-15,665,665,665,665,-,0.00%
109,2010-06-16,660,660,660,660,-,-0.75%
110,2010-06-17,660,660,660,660,-,0.00%
111,2010-06-18,660,660,660,660,-,0.00%
112,2010-06-21,660,660,660,660,-,0.00%
113,2010-06-22,660,660,660,660,-,0.00%
114,2010-06-23,655,655,655,655,-,-0.76%
115,2010-06-24,655,655,655,655,-,0.00%
116,2010-06-25,655,655,655,655,-,0.00%
117,2010-06-28,655,655,655,655,-,0.00%
118,2010-06-29,655,655,655,655,-,0.00%
119,2010-06-30,615,615,615,615,-,-6.11%
120,2010-07-01,615,615,615,615,-,0.00%
121,2010-07-02,610,610,610,610,-,-0.81%
122,2010-07-06,610,610,610,610,-,0.00%
123,2010-07-07,605,605,605,605,0.10K,-0.82%
124,2010-07-08,605,605,605,605,-,0.00%
125,2010-07-09,600,600,600,600,-,-0.83%
126,2010-07-12,605,605,605,605,-,0.83%
127,2010-07-13,605,605,605,605,-,0.00%
128,2010-07-14,610,610,610,610,-,0.83%
129,2010-07-15,605,595,595,595,0.00K,-0.82%
130,2010-07-16,605,605,605,605,-,0.00%
131,2010-07-19,600,600,600,600,-,-0.83%
132,2010-07-20,600,600,600,600,-,0.00%
133,2010-07-21,600,600,600,600,-,0.00%
134,2010-07-22,600,600,600,600,-,0.00%
135,2010-07-23,600,600,600,600,-,0.00%
136,2010-07-26,600,600,600,600,-,0.00%
137,2010-07-27,600,600,600,600,-,0.00%
138,2010-07-28,575,575,575,575,-,-4.17%
139,2010-07-29,585,585,585,585,0.01K,1.74%
140,2010-07-30,580,580,580,580,-,-0.85%
141,2010-08-02,580,580,580,575,0.01K,0.00%
142,2010-08-03,580,580,580,580,-,0.00%
143,2010-08-04,560,560,560,560,0.01K,-3.45%
144,2010-08-05,560,560,560,560,-,0.00%
145,2010-08-06,560,560,560,560,-,0.00%
146,2010-08-09,560,560,560,560,-,0.00%
147,2010-08-10,560,560,560,560,-,0.00%
148,2010-08-11,565,565,565,565,-,0.89%
149,2010-08-12,565,565,565,565,-,0.00%
150,2010-08-13,565,565,565,565,-,0.00%
151,2010-08-16,565,565,565,565,-,0.00%
152,2010-08-17,565,565,565,565,-,0.00%
153,2010-08-18,565,565,565,565,-,0.00%
154,2010-08-19,565,565,565,565,-,0.00%
155,2010-08-20,565,565,565,565,-,0.00%
156,2010-08-23,565,565,565,565,-,0.00%
157,2010-08-24,565,565,565,565,-,0.00%
158,2010-08-25,605,605,605,605,0.05K,7.08%
159,2010-08-26,595,595,595,595,-,-1.65%
160,2010-08-27,595,595,595,595,-,0.00%
161,2010-08-30,595,595,595,595,-,0.00%
162,2010-08-31,595,595,595,595,-,0.00%
163,2010-09-01,595,587,587,587,0.01K,0.00%
164,2010-09-02,595,595,595,595,-,0.00%
165,2010-09-03,595,595,595,595,-,0.00%
166,2010-09-07,595,595,595,595,-,0.00%
167,2010-09-08,595,595,595,595,-,0.00%
168,2010-09-09,590,590,590,590,-,-0.84%
169,2010-09-10,590,590,590,590,-,0.00%
170,2010-09-13,590,590,590,590,-,0.00%
171,2010-09-14,590,590,595,594,-,0.00%
172,2010-09-15,590,590,590,590,-,0.00%
173,2010-09-16,590,590,590,590,-,0.00%
174,2010-09-17,590,590,590,590,-,0.00%
175,2010-09-20,590,590,590,590,-,0.00%
176,2010-09-21,590,590,590,590,-,0.00%
177,2010-09-22,585,585,585,587,-,-0.85%
178,2010-09-23,585,585,585,585,-,0.00%
179,2010-09-24,585,585,585,585,-,0.00%
