DATADATE,VALUE
0,2010-01-04,4197.0
1,2010-01-05,4431.0
2,2010-01-06,4253.0
3,2010-01-07,3824.0
4,2010-01-08,3733.0
5,2010-01-11,3718.0
6,2010-01-12,3759.0
7,2010-01-13,3865.0
8,2010-01-14,4142.0
9,2010-01-15,4375.0
10,2010-01-18,4411.0
11,2010-01-19,4174.0
12,2010-01-20,4059.0
13,2010-01-21,4095.0
14,2010-01-22,4161.0
15,2010-01-25,4204.0
16,2010-01-26,4193.0
17,2010-01-27,4019.0
18,2010-01-28,3706.0
19,2010-01-29,3494.0
20,2010-02-01,3317.0
21,2010-02-02,3302.0
22,2010-02-03,3309.0
23,2010-02-04,3371.0
24,2010-02-05,3474.0
25,2010-02-08,3515.0
26,2010-02-09,3486.0
27,2010-02-10,3310.0
28,2010-02-11,3224.0
29,2010-02-12,3259.0
30,2010-02-15,3270.0
31,2010-02-16,3380.0
32,2010-02-17,3523.0
33,2010-02-18,3570.0
34,2010-02-19,3517.0
35,2010-02-22,3476.0
36,2010-02-23,3392.0
37,2010-02-24,3278.0
38,2010-02-25,3196.0
39,2010-02-26,3174.0
40,2010-03-01,3163.0
41,2010-03-02,3172.0
42,2010-03-03,3344.0
43,2010-03-04,3721.0
44,2010-03-05,3923.0
45,2010-03-08,3877.0
46,2010-03-09,3679.0
47,2010-03-10,3723.0
48,2010-03-11,3894.0
49,2010-03-12,4328.0
50,2010-03-15,4411.0
51,2010-03-16,4056.0
52,2010-03-17,3780.0
53,2010-03-18,3613.0
54,2010-03-19,3522.0
55,2010-03-22,3390.0
56,2010-03-23,3282.0
57,2010-03-24,3259.0
58,2010-03-25,3248.0
59,2010-03-26,3244.0
60,2010-03-29,3245.0
61,2010-03-30,3301.0
62,2010-03-31,3425.0
63,2010-04-01,3429.0
64,2010-04-06,3377.0
65,2010-04-07,3233.0
66,2010-04-08,3073.0
67,2010-04-09,2984.0
68,2010-04-12,2941.0
69,2010-04-13,2945.0
70,2010-04-14,3001.0
71,2010-04-15,3048.0
72,2010-04-16,3071.0
73,2010-04-19,3059.0
74,2010-04-20,3083.0
75,2010-04-21,3176.0
76,2010-04-22,3200.0
77,2010-04-23,3238.0
78,2010-04-26,3277.0
79,2010-04-27,3698.0
80,2010-04-28,3947.0
81,2010-04-29,3998.0
82,2010-04-30,3936.0
83,2010-05-04,3892.0
84,2010-05-05,3917.0
85,2010-05-06,4041.0
86,2010-05-07,4348.0
87,2010-05-10,4551.0
88,2010-05-11,4804.0
89,2010-05-12,4878.0
90,2010-05-13,4861.0
91,2010-05-14,4804.0
92,2010-05-17,4711.0
93,2010-05-18,4513.0
94,2010-05-19,4300.0
95,2010-05-20,4192.0
96,2010-05-21,4317.0
97,2010-05-24,4625.0
98,2010-05-25,5262.0
99,2010-05-26,5357.0
100,2010-05-27,5304.0
101,2010-05-28,5217.0
102,2010-06-01,5402.0
103,2010-06-02,5455.0
104,2010-06-03,5275.0
105,2010-06-04,5110.0
106,2010-06-07,4884.0
107,2010-06-08,4553.0
108,2010-06-09,4519.0
109,2010-06-10,4446.0
110,2010-06-11,4276.0
111,2010-06-14,3905.0
112,2010-06-15,3739.0
113,2010-06-16,3488.0
114,2010-06-17,3317.0
115,2010-06-18,3134.0
116,2010-06-21,2920.0
117,2010-06-22,2770.0
118,2010-06-23,2698.0
119,2010-06-24,2695.0
120,2010-06-25,2717.0
121,2010-06-28,2716.0
122,2010-06-29,2713.0
123,2010-06-30,2711.0
124,2010-07-01,2658.0
125,2010-07-02,2627.0
126,2010-07-05,2578.0
127,2010-07-06,2468.0
128,2010-07-07,2291.0
129,2010-07-08,2159.0
130,2010-07-09,2102.0
131,2010-07-12,1949.0
132,2010-07-13,1839.0
133,2010-07-14,1653.0
134,2010-07-15,1640.0
135,2010-07-16,1676.0
136,2010-07-19,1698.0
137,2010-07-20,1757.0
138,2010-07-21,1752.0
139,2010-07-22,1718.0
140,2010-07-23,1708.0
141,2010-07-26,1698.0
142,2010-07-27,1747.0
143,2010-07-28,1801.0
144,2010-07-29,1886.0
145,2010-07-30,1922.0
146,2010-08-02,1922.0
147,2010-08-03,1892.0
148,2010-08-04,1939.0
149,2010-08-05,2029.0
150,2010-08-06,2194.0
151,2010-08-09,2485.0
152,2010-08-10,2724.0
153,2010-08-11,3152.0
154,2010-08-12,3212.0
155,2010-08-13,3210.0
156,2010-08-16,3194.0
157,2010-08-17,3207.0
158,2010-08-18,3225.0
159,2010-08-19,3363.0
160,2010-08-20,3578.0
161,2010-08-23,3777.0
162,2010-08-24,3795.0
163,2010-08-25,3503.0
164,2010-08-26,3362.0
165,2010-08-27,3449.0
166,2010-08-31,3516.0
167,2010-09-01,3643.0
168,2010-09-02,3900.0
169,2010-09-03,3937.0
170,2010-09-06,3857.0
171,2010-09-07,3901.0
172,2010-09-08,4024.0
173,2010-09-09,4017.0
174,2010-09-10,4019.0
175,2010-09-13,3991.0
176,2010-09-14,3933.0
177,2010-09-15,3748.0
178,2010-09-16,3594.0
179,2010-09-17,3481.0
180,2010-09-20,3389.0
181,2010-09-21,3248.0
182,2010-09-22,3108.0
183,2010-09-23,3104.0
184,2010-09-24,3121.0
185,2010-09-27,3197.0
186,2010-09-28,3431.0
187,2010-09-29,3393.0
188,2010-09-30,3370.0
189,2010-10-01,3419.0
190,2010-10-04,3509.0
191,2010-10-05,3786.0
192,2010-10-06,3976.0
193,2010-10-07,4019.0
194,2010-10-08,4076.0
195,2010-10-11,4055.0
196,2010-10-12,4098.0
197,2010-10-13,4173.0
198,2010-10-14,4301.0
199,2010-10-15,4345.0
200,2010-10-18,4363.0
201,2010-10-19,4366.0
202,2010-10-20,4363.0
203,2010-10-21,4356.0
204,2010-10-22,4373.0
205,2010-10-25,4407.0
206,2010-10-26,4448.0
207,2010-10-27,4461.0
208,2010-10-28,4272.0
209,2010-10-29,4262.0
210,2010-11-01,4231.0
211,2010-11-02,4165.0
212,2010-11-03,4060.0
213,2010-11-04,4011.0
214,2010-11-05,3994.0
215,2010-11-08,3984.0
216,2010-11-09,3938.0
217,2010-11-10,3882.0
218,2010-11-11,3695.0
219,2010-11-12,3612.0
220,2010-11-15,3530.0
221,2010-11-16,3490.0
222,2010-11-17,3492.0
223,2010-11-18,3496.0
224,2010-11-19,3526.0
225,2010-11-22,3585.0
226,2010-11-23,3593.0
227,2010-11-24,3539.0
228,2010-11-25,3381.0
229,2010-11-26,3233.0
230,2010-11-29,3095.0
231,2010-11-30,2910.0
232,2010-12-01,2869.0
233,2010-12-02,2919.0
234,2010-12-03,2983.0
235,2010-12-06,2987.0
236,2010-12-07,2929.0
237,2010-12-08,2832.0
238,2010-12-09,2731.0
239,2010-12-10,2694.0
240,2010-12-13,2663.0
241,2010-12-14,2676.0
242,2010-12-15,2687.0
243,2010-12-16,2709.0
244,2010-12-17,2723.0
245,2010-12-20,2671.0
246,2010-12-21,2557.0
247,2010-12-22,2440.0
248,2010-12-23,2379.0
249,2010-12-24,2346.0
250,2011-01-04,2285.0
251,2011-01-05,2137.0
252,2011-01-06,1963.0
253,2011-01-07,1865.0
254,2011-01-10,1788.0
255,2011-01-11,1719.0
256,2011-01-12,1637.0
257,2011-01-13,1608.0
258,2011-01-14,1595.0
259,2011-01-17,1590.0
260,2011-01-18,1586.0
261,2011-01-19,1572.0
262,2011-01-20,1566.0
263,2011-01-21,1556.0
264,2011-01-24,1541.0
265,2011-01-25,1494.0
266,2011-01-26,1447.0
267,2011-01-27,1403.0
268,2011-01-28,1368.0
269,2011-01-31,1351.0
270,2011-02-01,1337.0
271,2011-02-02,1321.0
272,2011-02-03,1298.0
273,2011-02-04,1299.0
274,2011-02-07,1281.0
275,2011-02-08,1289.0
276,2011-02-09,1334.0
277,2011-02-10,1411.0
278,2011-02-11,1475.0
279,2011-02-14,1494.0
280,2011-02-15,1488.0
281,2011-02-16,1477.0
282,2011-02-17,1455.0
283,2011-02-18,1442.0
284,2011-02-21,1424.0
285,2011-02-22,1390.0
286,2011-02-23,1345.0
287,2011-02-24,1319.0
288,2011-02-25,1315.0
289,2011-02-28,1310.0
290,2011-03-01,1314.0
291,2011-03-02,1337.0
292,2011-03-03,1390.0
293,2011-03-04,1427.0
294,2011-03-07,1507.0
295,2011-03-08,1595.0
296,2011-03-09,1699.0
297,2011-03-10,1856.0
298,2011-03-11,1891.0
299,2011-03-14,1865.0
300,2011-03-15,1811.0
301,2011-03-16,1744.0
302,2011-03-17,1702.0
303,2011-03-18,1687.0
304,2011-03-21,1679.0
305,2011-03-22,1701.0
306,2011-03-23,1754.0
307,2011-03-24,1798.0
308,2011-03-25,1805.0
309,2011-03-28,1807.0
310,2011-03-29,1785.0
311,2011-03-30,1756.0
312,2011-03-31,1768.0
313,2011-04-01,1792.0
314,2011-04-04,1779.0
315,2011-04-05,1728.0
316,2011-04-06,1674.0
317,2011-04-07,1638.0
318,2011-04-08,1612.0
319,2011-04-11,1590.0
320,2011-04-12,1576.0
321,2011-04-13,1570.0
322,2011-04-14,1573.0
323,2011-04-15,1564.0
324,2011-04-18,1552.0
325,2011-04-19,1538.0
326,2011-04-20,1540.0
327,2011-04-21,1540.0
328,2011-04-22,1540.0
329,2011-04-25,1540.0
330,2011-04-26,1546.0
331,2011-04-27,1566.0
332,2011-04-28,1564.0
333,2011-05-02,1564.0
334,2011-05-03,1572.0
335,2011-05-04,1560.0
336,2011-05-05,1542.0
337,2011-05-06,1566.0
338,2011-05-09,1557.0
339,2011-05-10,1529.0
340,2011-05-11,1509.0
341,2011-05-12,1498.0
342,2011-05-13,1494.0
343,2011-05-16,1475.0
344,2011-05-17,1457.0
345,2011-05-18,1459.0
346,2011-05-19,1604.0
347,2011-05-20,1633.0
348,2011-05-23,1651.0
349,2011-05-24,1690.0
350,2011-05-25,1759.0
351,2011-05-26,1794.0
352,2011-05-27,1821.0
353,2011-05-30,1821.0
354,2011-05-31,1874.0
355,2011-06-01,1912.0
356,2011-06-02,1934.0
357,2011-06-03,1939.0
358,2011-06-06,1933.0
359,2011-06-07,1860.0
360,2011-06-08,1801.0
361,2011-06-09,1767.0
362,2011-06-10,1735.0
363,2011-06-13,1732.0
364,2011-06-14,1694.0
365,2011-06-15,1716.0
366,2011-06-16,1796.0
367,2011-06-17,1824.0
368,2011-06-20,1836.0
369,2011-06-21,1835.0
370,2011-06-22,1859.0
371,2011-06-23,1905.0
372,2011-06-24,1974.0
373,2011-06-27,2053.0
374,2011-06-28,2082.0
375,2011-06-29,2048.0
376,2011-06-30,2036.0
377,2011-07-01,2045.0
378,2011-07-04,2052.0
379,2011-07-05,2082.0
380,2011-07-06,2116.0
381,2011-07-07,2126.0
382,2011-07-08,2115.0
383,2011-07-11,2084.0
384,2011-07-12,2022.0
385,2011-07-13,1965.0
386,2011-07-14,1943.0
387,2011-07-15,1918.0
388,2011-07-18,1900.0
389,2011-07-19,1884.0
390,2011-07-20,1866.0
391,2011-07-21,1851.0
392,2011-07-22,1841.0
393,2011-07-25,1827.0
394,2011-07-26,1816.0
395,2011-07-27,1800.0
396,2011-07-28,1767.0
397,2011-07-29,1749.0
398,2011-08-01,1738.0
399,2011-08-02,1749.0
400,2011-08-03,1775.0
401,2011-08-04,1805.0
402,2011-08-05,1804.0
403,2011-08-08,1793.0
404,2011-08-09,1783.0
405,2011-08-10,1810.0
406,2011-08-11,1836.0
407,2011-08-12,1851.0
408,2011-08-15,1870.0
409,2011-08-16,1951.0
410,2011-08-17,2015.0
411,2011-08-18,2124.0
412,2011-08-19,2220.0
413,2011-08-22,2324.0
414,2011-08-23,2446.0
415,2011-08-24,2556.0
416,2011-08-25,2466.0
417,2011-08-26,2346.0
418,2011-08-29,2346.0
419,2011-08-30,2333.0
420,2011-08-31,2598.0
421,2011-09-01,2807.0
422,2011-09-02,2975.0
423,2011-09-05,2995.0
424,2011-09-06,3010.0
425,2011-09-07,2938.0
426,2011-09-08,3048.0
427,2011-09-09,3185.0
428,2011-09-12,3270.0
429,2011-09-13,3309.0
430,2011-09-14,3342.0
431,2011-09-15,3267.0
432,2011-09-16,3008.0
433,2011-09-19,2847.0
434,2011-09-20,2942.0
435,2011-09-21,3012.0
436,2011-09-22,3244.0
437,2011-09-23,3335.0
438,2011-09-26,3344.0
439,2011-09-27,3318.0
440,2011-09-28,3268.0
441,2011-09-29,3207.0
442,2011-09-30,3136.0
443,2011-10-03,3063.0
444,2011-10-04,3021.0
445,2011-10-05,3043.0
446,2011-10-06,3162.0
447,2011-10-07,3218.0
448,2011-10-10,3275.0
449,2011-10-11,3474.0
450,2011-10-12,3486.0
451,2011-10-13,3546.0
452,2011-10-14,3587.0
453,2011-10-17,3539.0
454,2011-10-18,3451.0
455,2011-10-19,3473.0
456,2011-10-20,3565.0
457,2011-10-21,3566.0
458,2011-10-24,3597.0
459,2011-10-25,3638.0
460,2011-10-26,3612.0
461,2011-10-27,3481.0
462,2011-10-28,3274.0
463,2011-10-31,3132.0
464,2011-11-01,3003.0
465,2011-11-02,2906.0
466,2011-11-03,2829.0
467,2011-11-04,2788.0
468,2011-11-07,2779.0
469,2011-11-08,2823.0
470,2011-11-09,2993.0
471,2011-11-10,3162.0
472,2011-11-11,3150.0
473,2011-11-14,3081.0
474,2011-11-15,3108.0
475,2011-11-16,3223.0
476,2011-11-17,3258.0
477,2011-11-18,3235.0
478,2011-11-21,3188.0
479,2011-11-22,3146.0
480,2011-11-23,3083.0
481,2011-11-24,3042.0
482,2011-11-25,3049.0
483,2011-11-28,3083.0
484,2011-11-29,3198.0
485,2011-11-30,3298.0
486,2011-12-01,3386.0
487,2011-12-02,3409.0
488,2011-12-05,3390.0
489,2011-12-06,3387.0
490,2011-12-07,3405.0
491,2011-12-08,3529.0
492,2011-12-09,3697.0
493,2011-12-12,3725.0
494,2011-12-13,3695.0
495,2011-12-14,3652.0
496,2011-12-15,3571.0
497,2011-12-16,3572.0
498,2011-12-19,3571.0
499,2011-12-20,3565.0
500,2011-12-21,3526.0
501,2011-12-22,3406.0
502,2011-12-23,3287.0
503,2011-12-26,3287.0
504,2011-12-27,3287.0
505,2011-12-28,3287.0
506,2011-12-29,3287.0
507,2011-12-30,3287.0
508,2012-01-03,2955.0
509,2012-01-04,2768.0
510,2012-01-05,2471.0
511,2012-01-06,2304.0
512,2012-01-09,2229.0
513,2012-01-10,2115.0
514,2012-01-11,1992.0
515,2012-01-12,1798.0
516,2012-01-13,1723.0
517,2012-01-16,1681.0
518,2012-01-17,1631.0
519,2012-01-18,1583.0
520,2012-01-19,1559.0
521,2012-01-20,1554.0
522,2012-01-23,1547.0
523,2012-01-24,1512.0
524,2012-01-25,1497.0
525,2012-01-26,1477.0
526,2012-01-27,1465.0
527,2012-01-30,1456.0
528,2012-01-31,1447.0
529,2012-02-01,1446.0
530,2012-02-02,1445.0
531,2012-02-03,1436.0
532,2012-02-06,1438.0
533,2012-02-07,1444.0
534,2012-02-08,1448.0
535,2012-02-09,1456.0
536,2012-02-10,1457.0
537,2012-02-13,1463.0
538,2012-02-14,1468.0
539,2012-02-15,1466.0
540,2012-02-16,1464.0
541,2012-02-17,1461.0
542,2012-02-20,1456.0
543,2012-02-21,1452.0
544,2012-02-22,1460.0
