DATADATE,VALUE
0,2010-01-04,817.0
1,2010-01-05,823.0
2,2010-01-06,839.0
3,2010-01-07,884.0
4,2010-01-08,896.0
5,2010-01-11,902.0
6,2010-01-12,895.0
7,2010-01-13,891.0
8,2010-01-14,888.0
9,2010-01-15,887.0
10,2010-01-18,895.0
11,2010-01-19,894.0
12,2010-01-20,891.0
13,2010-01-21,895.0
14,2010-01-22,898.0
15,2010-01-25,900.0
16,2010-01-26,901.0
17,2010-01-27,900.0
18,2010-01-28,891.0
19,2010-01-29,885.0
20,2010-02-01,884.0
21,2010-02-02,876.0
22,2010-02-03,860.0
23,2010-02-04,857.0
24,2010-02-05,853.0
25,2010-02-08,844.0
26,2010-02-09,825.0
27,2010-02-10,814.0
28,2010-02-11,802.0
29,2010-02-12,791.0
30,2010-02-15,778.0
31,2010-02-16,774.0
32,2010-02-17,771.0
33,2010-02-18,764.0
34,2010-02-19,761.0
35,2010-02-22,757.0
36,2010-02-23,755.0
37,2010-02-24,754.0
38,2010-02-25,758.0
39,2010-02-26,762.0
40,2010-03-01,761.0
41,2010-03-02,759.0
42,2010-03-03,764.0
43,2010-03-04,772.0
44,2010-03-05,779.0
45,2010-03-08,779.0
46,2010-03-09,775.0
47,2010-03-10,776.0
48,2010-03-11,778.0
49,2010-03-12,781.0
50,2010-03-15,780.0
51,2010-03-16,773.0
52,2010-03-17,767.0
53,2010-03-18,757.0
54,2010-03-19,745.0
55,2010-03-22,736.0
56,2010-03-23,728.0
57,2010-03-24,722.0
58,2010-03-25,719.0
59,2010-03-26,721.0
60,2010-03-29,719.0
61,2010-03-30,715.0
62,2010-03-31,708.0
63,2010-04-01,703.0
64,2010-04-06,696.0
65,2010-04-07,694.0
66,2010-04-08,690.0
67,2010-04-09,686.0
68,2010-04-12,683.0
69,2010-04-13,681.0
70,2010-04-14,676.0
71,2010-04-15,675.0
72,2010-04-16,674.0
73,2010-04-19,674.0
74,2010-04-20,678.0
75,2010-04-21,691.0
76,2010-04-22,707.0
77,2010-04-23,715.0
78,2010-04-26,720.0
79,2010-04-27,734.0
80,2010-04-28,733.0
81,2010-04-29,732.0
82,2010-04-30,733.0
83,2010-05-04,730.0
84,2010-05-05,726.0
85,2010-05-06,723.0
86,2010-05-07,724.0
87,2010-05-10,728.0
88,2010-05-11,733.0
89,2010-05-12,735.0
90,2010-05-13,732.0
91,2010-05-14,732.0
92,2010-05-17,730.0
93,2010-05-18,724.0
94,2010-05-19,720.0
95,2010-05-20,716.0
96,2010-05-21,712.0
97,2010-05-24,707.0
98,2010-05-25,701.0
99,2010-05-26,694.0
100,2010-05-27,687.0
101,2010-05-28,680.0
102,2010-06-01,669.0
103,2010-06-02,650.0
104,2010-06-03,644.0
105,2010-06-04,637.0
106,2010-06-07,635.0
107,2010-06-08,634.0
108,2010-06-09,637.0
109,2010-06-10,644.0
110,2010-06-11,647.0
111,2010-06-14,645.0
112,2010-06-15,647.0
113,2010-06-16,654.0
114,2010-06-17,670.0
115,2010-06-18,685.0
116,2010-06-21,688.0
117,2010-06-22,703.0
118,2010-06-23,712.0
119,2010-06-24,729.0
120,2010-06-25,749.0
121,2010-06-28,756.0
122,2010-06-29,768.0
123,2010-06-30,785.0
124,2010-07-01,798.0
125,2010-07-02,809.0
126,2010-07-05,818.0
127,2010-07-06,819.0
128,2010-07-07,818.0
129,2010-07-08,815.0
130,2010-07-09,813.0
131,2010-07-12,812.0
132,2010-07-13,815.0
133,2010-07-14,826.0
134,2010-07-15,838.0
135,2010-07-16,837.0
136,2010-07-19,835.0
137,2010-07-20,830.0
138,2010-07-21,835.0
139,2010-07-22,844.0
140,2010-07-23,842.0
141,2010-07-26,838.0
142,2010-07-27,826.0
143,2010-07-28,821.0
144,2010-07-29,807.0
145,2010-07-30,796.0
146,2010-08-02,792.0
147,2010-08-03,782.0
148,2010-08-04,775.0
149,2010-08-05,769.0
150,2010-08-06,760.0
151,2010-08-09,746.0
152,2010-08-10,728.0
153,2010-08-11,713.0
154,2010-08-12,711.0
155,2010-08-13,709.0
156,2010-08-16,706.0
157,2010-08-17,698.0
158,2010-08-18,692.0
159,2010-08-19,690.0
160,2010-08-20,689.0
161,2010-08-23,684.0
162,2010-08-24,684.0
163,2010-08-25,685.0
164,2010-08-26,686.0
165,2010-08-27,686.0
166,2010-08-31,679.0
167,2010-09-01,677.0
168,2010-09-02,675.0
169,2010-09-03,671.0
170,2010-09-06,668.0
171,2010-09-07,665.0
