DATADATE,VALUE
0,2010-01-04,3140.0
1,2010-01-05,3270.0
2,2010-01-06,3259.0
3,2010-01-07,3149.0
4,2010-01-08,3140.0
5,2010-01-11,3148.0
6,2010-01-12,3160.0
7,2010-01-13,3175.0
8,2010-01-14,3235.0
9,2010-01-15,3299.0
10,2010-01-18,3295.0
11,2010-01-19,3208.0
12,2010-01-20,3158.0
13,2010-01-21,3170.0
14,2010-01-22,3204.0
15,2010-01-25,3223.0
16,2010-01-26,3205.0
17,2010-01-27,3118.0
18,2010-01-28,2963.0
19,2010-01-29,2848.0
20,2010-02-01,2745.0
21,2010-02-02,2691.0
22,2010-02-03,2673.0
23,2010-02-04,2685.0
24,2010-02-05,2715.0
25,2010-02-08,2722.0
26,2010-02-09,2706.0
27,2010-02-10,2630.0
28,2010-02-11,2575.0
29,2010-02-12,2571.0
30,2010-02-15,2566.0
31,2010-02-16,2598.0
32,2010-02-17,2661.0
33,2010-02-18,2704.0
34,2010-02-19,2714.0
35,2010-02-22,2721.0
36,2010-02-23,2724.0
37,2010-02-24,2707.0
38,2010-02-25,2711.0
39,2010-02-26,2738.0
40,2010-03-01,2760.0
41,2010-03-02,2792.0
42,2010-03-03,2911.0
43,2010-03-04,3121.0
44,2010-03-05,3242.0
45,2010-03-08,3259.0
46,2010-03-09,3210.0
47,2010-03-10,3230.0
48,2010-03-11,3316.0
49,2010-03-12,3506.0
50,2010-03-15,3574.0
51,2010-03-16,3498.0
52,2010-03-17,3427.0
53,2010-03-18,3396.0
54,2010-03-19,3379.0
55,2010-03-22,3337.0
56,2010-03-23,3280.0
57,2010-03-24,3243.0
58,2010-03-25,3177.0
59,2010-03-26,3098.0
60,2010-03-29,3021.0
61,2010-03-30,2982.0
62,2010-03-31,2998.0
63,2010-04-01,2991.0
64,2010-04-06,2981.0
65,2010-04-07,2947.0
66,2010-04-08,2922.0
67,2010-04-09,2913.0
68,2010-04-12,2911.0
69,2010-04-13,2928.0
70,2010-04-14,2966.0
71,2010-04-15,3001.0
72,2010-04-16,3009.0
73,2010-04-19,3002.0
74,2010-04-20,2998.0
75,2010-04-21,3009.0
76,2010-04-22,3006.0
77,2010-04-23,3013.0
78,2010-04-26,3020.0
79,2010-04-27,3203.0
80,2010-04-28,3329.0
81,2010-04-29,3359.0
82,2010-04-30,3354.0
83,2010-05-04,3352.0
84,2010-05-05,3379.0
85,2010-05-06,3468.0
86,2010-05-07,3608.0
87,2010-05-10,3707.0
88,2010-05-11,3822.0
89,2010-05-12,3888.0
90,2010-05-13,3914.0
91,2010-05-14,3929.0
92,2010-05-17,3922.0
93,2010-05-18,3882.0
94,2010-05-19,3832.0
95,2010-05-20,3803.0
96,2010-05-21,3844.0
97,2010-05-24,3943.0
98,2010-05-25,4187.0
99,2010-05-26,4209.0
100,2010-05-27,4156.0
101,2010-05-28,4078.0
102,2010-06-01,4074.0
103,2010-06-02,4041.0
104,2010-06-03,3933.0
105,2010-06-04,3844.0
106,2010-06-07,3733.0
107,2010-06-08,3579.0
108,2010-06-09,3514.0
109,2010-06-10,3423.0
110,2010-06-11,3288.0
111,2010-06-14,3115.0
112,2010-06-15,3020.0
113,2010-06-16,2893.0
114,2010-06-17,2784.0
115,2010-06-18,2694.0
116,2010-06-21,2601.0
117,2010-06-22,2547.0
118,2010-06-23,2515.0
119,2010-06-24,2502.0
120,2010-06-25,2501.0
121,2010-06-28,2482.0
122,2010-06-29,2447.0
123,2010-06-30,2406.0
124,2010-07-01,2351.0
125,2010-07-02,2280.0
126,2010-07-05,2216.0
127,2010-07-06,2127.0
128,2010-07-07,2018.0
129,2010-07-08,1940.0
130,2010-07-09,1902.0
131,2010-07-12,1840.0
132,2010-07-13,1790.0
133,2010-07-14,1709.0
134,2010-07-15,1700.0
135,2010-07-16,1720.0
136,2010-07-19,1732.0
137,2010-07-20,1761.0
138,2010-07-21,1781.0
139,2010-07-22,1801.0
140,2010-07-23,1826.0
141,2010-07-26,1841.0
142,2010-07-27,1869.0
143,2010-07-28,1901.0
144,2010-07-29,1942.0
145,2010-07-30,1967.0
146,2010-08-02,1977.0
147,2010-08-03,1964.0
148,2010-08-04,1957.0
149,2010-08-05,1978.0
150,2010-08-06,2030.0
151,2010-08-09,2114.0
152,2010-08-10,2212.0
153,2010-08-11,2378.0
154,2010-08-12,2437.0
155,2010-08-13,2468.0
156,2010-08-16,2488.0
157,2010-08-17,2515.0
158,2010-08-18,2558.0
159,2010-08-19,2644.0
160,2010-08-20,2756.0
161,2010-08-23,2841.0
162,2010-08-24,2861.0
163,2010-08-25,2773.0
164,2010-08-26,2703.0
165,2010-08-27,2712.0
166,2010-08-31,2713.0
167,2010-09-01,2741.0
168,2010-09-02,2835.0
169,2010-09-03,2876.0
170,2010-09-06,2881.0
171,2010-09-07,2918.0
172,2010-09-08,2975.0
173,2010-09-09,2988.0
174,2010-09-10,2995.0
175,2010-09-13,2976.0
176,2010-09-14,2940.0
177,2010-09-15,2840.0
178,2010-09-16,2737.0
179,2010-09-17,2676.0
180,2010-09-20,2628.0
181,2010-09-21,2562.0
182,2010-09-22,2486.0
183,2010-09-23,2461.0
184,2010-09-24,2444.0
185,2010-09-27,2451.0
186,2010-09-28,2504.0
187,2010-09-29,2468.0
188,2010-09-30,2446.0
189,2010-10-01,2452.0
190,2010-10-04,2478.0
191,2010-10-05,2569.0
192,2010-10-06,2639.0
193,2010-10-07,2662.0
194,2010-10-08,2696.0
195,2010-10-11,2695.0
196,2010-10-12,2719.0
197,2010-10-13,2748.0
198,2010-10-14,2769.0
199,2010-10-15,2762.0
200,2010-10-18,2756.0
201,2010-10-19,2744.0
202,2010-10-20,2729.0
203,2010-10-21,2720.0
204,2010-10-22,2727.0
205,2010-10-25,2748.0
206,2010-10-26,2778.0
207,2010-10-27,2784.0
208,2010-10-28,2707.0
209,2010-10-29,2678.0
210,2010-11-01,2648.0
211,2010-11-02,2600.0
212,2010-11-03,2542.0
213,2010-11-04,2510.0
214,2010-11-05,2495.0
215,2010-11-08,2482.0
216,2010-11-09,2467.0
217,2010-11-10,2454.0
218,2010-11-11,2366.0
219,2010-11-12,2313.0
220,2010-11-15,2261.0
221,2010-11-16,2219.0
222,2010-11-17,2188.0
223,2010-11-18,2164.0
224,2010-11-19,2155.0
225,2010-11-22,2179.0
226,2010-11-23,2199.0
227,2010-11-24,2213.0
228,2010-11-25,2200.0
229,2010-11-26,2170.0
230,2010-11-29,2145.0
231,2010-11-30,2099.0
232,2010-12-01,2096.0
233,2010-12-02,2133.0
234,2010-12-03,2168.0
235,2010-12-06,2179.0
236,2010-12-07,2173.0
237,2010-12-08,2144.0
238,2010-12-09,2111.0
239,2010-12-10,2095.0
240,2010-12-13,2076.0
241,2010-12-14,2069.0
242,2010-12-15,2047.0
243,2010-12-16,2028.0
244,2010-12-17,1999.0
245,2010-12-20,1955.0
246,2010-12-21,1886.0
247,2010-12-22,1830.0
248,2010-12-23,1795.0
249,2010-12-24,1773.0
250,2011-01-04,1693.0
251,2011-01-05,1621.0
252,2011-01-06,1544.0
253,2011-01-07,1519.0
254,2011-01-10,1495.0
255,2011-01-11,1480.0
256,2011-01-12,1453.0
257,2011-01-13,1446.0
258,2011-01-14,1439.0
259,2011-01-17,1439.0
260,2011-01-18,1432.0
261,2011-01-19,1411.0
262,2011-01-20,1393.0
263,2011-01-21,1370.0
264,2011-01-24,1345.0
265,2011-01-25,1292.0
266,2011-01-26,1234.0
267,2011-01-27,1186.0
268,2011-01-28,1137.0
269,2011-01-31,1107.0
270,2011-02-01,1084.0
271,2011-02-02,1064.0
272,2011-02-03,1045.0
273,2011-02-04,1043.0
274,2011-02-07,1045.0
275,2011-02-08,1064.0
276,2011-02-09,1092.0
277,2011-02-10,1136.0
278,2011-02-11,1178.0
279,2011-02-14,1206.0
280,2011-02-15,1236.0
281,2011-02-16,1271.0
282,2011-02-17,1292.0
283,2011-02-18,1301.0
284,2011-02-21,1295.0
285,2011-02-22,1279.0
286,2011-02-23,1253.0
287,2011-02-24,1242.0
288,2011-02-25,1245.0
289,2011-02-28,1251.0
290,2011-03-01,1262.0
291,2011-03-02,1281.0
292,2011-03-03,1317.0
293,2011-03-04,1346.0
