DATADATE,VALUE
0,2010-01-04,1024.0
1,2010-01-05,1025.0
2,2010-01-06,1034.0
3,2010-01-07,1046.0
4,2010-01-08,1073.0
5,2010-01-11,1100.0
6,2010-01-12,1122.0
7,2010-01-13,1164.0
8,2010-01-14,1197.0
9,2010-01-15,1216.0
10,2010-01-18,1208.0
11,2010-01-19,1208.0
12,2010-01-20,1196.0
13,2010-01-21,1198.0
14,2010-01-22,1165.0
15,2010-01-25,1143.0
16,2010-01-26,1111.0
17,2010-01-27,1106.0
18,2010-01-28,1101.0
19,2010-01-29,1077.0
20,2010-02-01,1047.0
21,2010-02-02,1037.0
22,2010-02-03,1018.0
23,2010-02-04,1000.0
24,2010-02-05,980.0
25,2010-02-08,967.0
26,2010-02-09,953.0
27,2010-02-10,938.0
28,2010-02-11,932.0
29,2010-02-12,926.0
30,2010-02-15,922.0
31,2010-02-16,917.0
32,2010-02-17,910.0
33,2010-02-18,902.0
34,2010-02-19,904.0
35,2010-02-22,902.0
36,2010-02-23,900.0
37,2010-02-24,915.0
38,2010-02-25,905.0
39,2010-02-26,897.0
40,2010-03-01,889.0
41,2010-03-02,883.0
42,2010-03-03,880.0
43,2010-03-04,880.0
44,2010-03-05,878.0
45,2010-03-08,876.0
46,2010-03-09,881.0
47,2010-03-10,902.0
48,2010-03-11,913.0
49,2010-03-12,924.0
50,2010-03-15,933.0
51,2010-03-16,950.0
52,2010-03-17,992.0
53,2010-03-18,1044.0
54,2010-03-19,1072.0
55,2010-03-22,1096.0
56,2010-03-23,1104.0
57,2010-03-24,1105.0
58,2010-03-25,1073.0
59,2010-03-26,1049.0
60,2010-03-29,1012.0
61,2010-03-30,974.0
62,2010-03-31,964.0
63,2010-04-01,949.0
64,2010-04-06,930.0
65,2010-04-07,921.0
66,2010-04-08,935.0
67,2010-04-09,937.0
68,2010-04-12,938.0
69,2010-04-13,938.0
70,2010-04-14,930.0
71,2010-04-15,937.0
72,2010-04-16,952.0
73,2010-04-19,959.0
74,2010-04-20,965.0
75,2010-04-21,971.0
76,2010-04-22,972.0
77,2010-04-23,976.0
78,2010-04-26,987.0
79,2010-04-27,996.0
80,2010-04-28,994.0
81,2010-04-29,992.0
82,2010-04-30,996.0
83,2010-05-04,995.0
84,2010-05-05,984.0
85,2010-05-06,988.0
86,2010-05-07,992.0
87,2010-05-10,1002.0
88,2010-05-11,1041.0
89,2010-05-12,1070.0
90,2010-05-13,1083.0
91,2010-05-14,1094.0
92,2010-05-17,1097.0
93,2010-05-18,1104.0
94,2010-05-19,1112.0
95,2010-05-20,1122.0
96,2010-05-21,1114.0
97,2010-05-24,1088.0
98,2010-05-25,1054.0
99,2010-05-26,1025.0
100,2010-05-27,975.0
101,2010-05-28,962.0
102,2010-06-01,938.0
103,2010-06-02,921.0
104,2010-06-03,911.0
105,2010-06-04,903.0
106,2010-06-07,898.0
107,2010-06-08,890.0
108,2010-06-09,893.0
109,2010-06-10,905.0
110,2010-06-11,912.0
111,2010-06-14,915.0
112,2010-06-15,911.0
113,2010-06-16,918.0
114,2010-06-17,918.0
115,2010-06-18,925.0
116,2010-06-21,934.0
117,2010-06-22,944.0
118,2010-06-23,939.0
119,2010-06-24,927.0
120,2010-06-25,917.0
121,2010-06-28,896.0
122,2010-06-29,876.0
123,2010-06-30,855.0
124,2010-07-01,844.0
125,2010-07-02,831.0
126,2010-07-05,824.0
127,2010-07-06,820.0
128,2010-07-07,814.0
129,2010-07-08,809.0
130,2010-07-09,796.0
131,2010-07-12,789.0
132,2010-07-13,780.0
133,2010-07-14,791.0
134,2010-07-15,808.0
135,2010-07-16,832.0
136,2010-07-19,842.0
137,2010-07-20,851.0
138,2010-07-21,863.0
139,2010-07-22,853.0
140,2010-07-23,861.0
141,2010-07-26,859.0
142,2010-07-27,844.0
143,2010-07-28,823.0
144,2010-07-29,809.0
145,2010-07-30,796.0
146,2010-08-02,789.0
147,2010-08-03,779.0
148,2010-08-04,771.0
149,2010-08-05,765.0
150,2010-08-06,779.0
151,2010-08-09,784.0
152,2010-08-10,788.0
153,2010-08-11,797.0
154,2010-08-12,808.0
155,2010-08-13,816.0
156,2010-08-16,820.0
157,2010-08-17,805.0
158,2010-08-18,786.0
159,2010-08-19,776.0
160,2010-08-20,762.0
161,2010-08-23,754.0
162,2010-08-24,747.0
163,2010-08-25,735.0
164,2010-08-26,730.0
165,2010-08-27,724.0
166,2010-08-31,715.0
167,2010-09-01,708.0
168,2010-09-02,705.0
169,2010-09-03,702.0
170,2010-09-06,700.0
171,2010-09-07,694.0
172,2010-09-08,689.0
173,2010-09-09,690.0
174,2010-09-10,691.0
175,2010-09-13,690.0
176,2010-09-14,689.0
177,2010-09-15,682.0
178,2010-09-16,678.0
179,2010-09-17,680.0
180,2010-09-20,680.0
181,2010-09-21,678.0
182,2010-09-22,679.0
183,2010-09-23,680.0
184,2010-09-24,687.0
185,2010-09-27,690.0
186,2010-09-28,690.0
187,2010-09-29,690.0
188,2010-09-30,686.0
189,2010-10-01,684.0
190,2010-10-04,684.0
191,2010-10-05,689.0
192,2010-10-06,714.0
193,2010-10-07,746.0
194,2010-10-08,757.0
195,2010-10-11,757.0
196,2010-10-12,753.0
197,2010-10-13,741.0
198,2010-10-14,729.0
199,2010-10-15,727.0
200,2010-10-18,729.0
201,2010-10-19,731.0
202,2010-10-20,731.0
203,2010-10-21,737.0
204,2010-10-22,734.0
205,2010-10-25,731.0
206,2010-10-26,734.0
207,2010-10-27,738.0
208,2010-10-28,744.0
209,2010-10-29,758.0
210,2010-11-01,763.0
211,2010-11-02,777.0
212,2010-11-03,775.0
213,2010-11-04,773.0
214,2010-11-05,776.0
215,2010-11-08,777.0
216,2010-11-09,778.0
217,2010-11-10,775.0
218,2010-11-11,775.0
219,2010-11-12,803.0
220,2010-11-15,826.0
221,2010-11-16,830.0
222,2010-11-17,846.0
223,2010-11-18,875.0
224,2010-11-19,882.0
225,2010-11-22,874.0
226,2010-11-23,853.0
227,2010-11-24,843.0
228,2010-11-25,844.0
229,2010-11-26,840.0
230,2010-11-29,838.0
231,2010-11-30,882.0
232,2010-12-01,896.0
233,2010-12-02,940.0
234,2010-12-03,959.0
235,2010-12-06,978.0
236,2010-12-07,1034.0
237,2010-12-08,1036.0
238,2010-12-09,1024.0
239,2010-12-10,1023.0
240,2010-12-13,1026.0
241,2010-12-14,1026.0
242,2010-12-15,1029.0
243,2010-12-16,1039.0
244,2010-12-17,1048.0
245,2010-12-20,1074.0
246,2010-12-21,1079.0
247,2010-12-22,1062.0
248,2010-12-23,1046.0
249,2010-12-24,1043.0
250,2011-01-04,842.0
251,2011-01-05,820.0
252,2011-01-06,792.0
253,2011-01-07,776.0
254,2011-01-10,763.0
255,2011-01-11,743.0
256,2011-01-12,734.0
257,2011-01-13,728.0
258,2011-01-14,719.0
259,2011-01-17,706.0
260,2011-01-18,687.0
261,2011-01-19,679.0
262,2011-01-20,666.0
263,2011-01-21,664.0
264,2011-01-24,665.0
265,2011-01-25,662.0
266,2011-01-26,659.0
267,2011-01-27,657.0
268,2011-01-28,658.0
269,2011-01-31,662.0
270,2011-02-01,660.0
271,2011-02-02,657.0
272,2011-02-03,660.0
273,2011-02-04,668.0
274,2011-02-07,676.0
275,2011-02-08,691.0
276,2011-02-09,702.0
277,2011-02-10,702.0
278,2011-02-11,706.0
279,2011-02-14,714.0
280,2011-02-15,736.0
281,2011-02-16,752.0
282,2011-02-17,776.0
283,2011-02-18,780.0
284,2011-02-21,775.0
285,2011-02-22,768.0
286,2011-02-23,789.0
287,2011-02-24,818.0
288,2011-02-25,872.0
289,2011-02-28,919.0
290,2011-03-01,965.0
291,2011-03-02,1000.0
292,2011-03-03,1031.0
293,2011-03-04,1049.0
294,2011-03-07,1055.0
295,2011-03-08,1065.0
296,2011-03-09,1058.0
297,2011-03-10,1029.0
298,2011-03-11,1029.0
299,2011-03-14,1030.0
300,2011-03-15,1029.0
301,2011-03-16,1013.0
302,2011-03-17,1014.0
303,2011-03-18,1018.0
304,2011-03-21,1023.0
305,2011-03-22,1019.0
306,2011-03-23,991.0
307,2011-03-24,974.0
308,2011-03-25,954.0
309,2011-03-28,943.0
310,2011-03-29,937.0
311,2011-03-30,936.0
312,2011-03-31,932.0
313,2011-04-01,927.0
314,2011-04-04,914.0
315,2011-04-05,898.0
316,2011-04-06,891.0
317,2011-04-07,884.0
318,2011-04-08,876.0
319,2011-04-11,860.0
320,2011-04-12,849.0
321,2011-04-13,840.0
322,2011-04-14,836.0
323,2011-04-15,837.0
324,2011-04-18,836.0
325,2011-04-19,844.0
326,2011-04-20,839.0
327,2011-04-21,839.0
328,2011-04-26,830.0
329,2011-04-27,823.0
330,2011-04-28,829.0
331,2011-05-03,822.0
332,2011-05-04,811.0
333,2011-05-05,802.0
334,2011-05-06,796.0
335,2011-05-09,792.0
336,2011-05-10,788.0
337,2011-05-11,778.0
338,2011-05-12,777.0
339,2011-05-13,779.0
340,2011-05-16,782.0
341,2011-05-17,784.0
342,2011-05-18,778.0
343,2011-05-19,785.0
344,2011-05-20,783.0
345,2011-05-23,781.0
346,2011-05-24,782.0
