DATADATE,VALUE
0,2010-01-04,2224.0
1,2010-01-05,2256.0
2,2010-01-06,2319.0
3,2010-01-07,2375.0
4,2010-01-08,2418.0
5,2010-01-11,2452.0
6,2010-01-12,2507.0
7,2010-01-13,2542.0
8,2010-01-14,2545.0
9,2010-01-15,2535.0
10,2010-01-18,2527.0
11,2010-01-19,2510.0
12,2010-01-20,2488.0
13,2010-01-21,2462.0
14,2010-01-22,2449.0
15,2010-01-25,2429.0
16,2010-01-26,2395.0
17,2010-01-27,2356.0
18,2010-01-28,2313.0
19,2010-01-29,2271.0
20,2010-02-01,2233.0
21,2010-02-02,2209.0
22,2010-02-03,2186.0
23,2010-02-04,2167.0
24,2010-02-05,2156.0
25,2010-02-08,2141.0
26,2010-02-09,2128.0
27,2010-02-10,2111.0
28,2010-02-11,2076.0
29,2010-02-12,2048.0
30,2010-02-15,2035.0
31,2010-02-16,2028.0
32,2010-02-17,2029.0
33,2010-02-18,2053.0
34,2010-02-19,2077.0
35,2010-02-22,2103.0
36,2010-02-23,2158.0
37,2010-02-24,2204.0
38,2010-02-25,2249.0
39,2010-02-26,2288.0
40,2010-03-01,2316.0
41,2010-03-02,2345.0
42,2010-03-03,2384.0
43,2010-03-04,2429.0
44,2010-03-05,2472.0
45,2010-03-08,2508.0
46,2010-03-09,2552.0
47,2010-03-10,2587.0
48,2010-03-11,2628.0
49,2010-03-12,2731.0
50,2010-03-15,2820.0
51,2010-03-16,2873.0
52,2010-03-17,2898.0
53,2010-03-18,2920.0
54,2010-03-19,2929.0
55,2010-03-22,2918.0
56,2010-03-23,2877.0
57,2010-03-24,2841.0
58,2010-03-25,2757.0
59,2010-03-26,2647.0
60,2010-03-29,2542.0
61,2010-03-30,2473.0
62,2010-03-31,2431.0
63,2010-04-01,2409.0
64,2010-04-06,2435.0
65,2010-04-07,2460.0
66,2010-04-08,2471.0
67,2010-04-09,2490.0
68,2010-04-12,2508.0
69,2010-04-13,2540.0
70,2010-04-14,2567.0
71,2010-04-15,2596.0
72,2010-04-16,2594.0
73,2010-04-19,2590.0
74,2010-04-20,2608.0
75,2010-04-21,2620.0
76,2010-04-22,2642.0
77,2010-04-23,2656.0
78,2010-04-26,2659.0
79,2010-04-27,2666.0
80,2010-04-28,2686.0
81,2010-04-29,2690.0
82,2010-04-30,2715.0
83,2010-05-04,2732.0
84,2010-05-05,2755.0
85,2010-05-06,2817.0
86,2010-05-07,2888.0
87,2010-05-10,2947.0
88,2010-05-11,2991.0
89,2010-05-12,3025.0
90,2010-05-13,3053.0
91,2010-05-14,3076.0
92,2010-05-17,3090.0
93,2010-05-18,3103.0
94,2010-05-19,3111.0
95,2010-05-20,3106.0
96,2010-05-21,3095.0
97,2010-05-24,3090.0
98,2010-05-25,3076.0
99,2010-05-26,3053.0
100,2010-05-27,3015.0
101,2010-05-28,2982.0
102,2010-06-01,2930.0
103,2010-06-02,2865.0
104,2010-06-03,2798.0
105,2010-06-04,2741.0
106,2010-06-07,2677.0
107,2010-06-08,2610.0
108,2010-06-09,2523.0
109,2010-06-10,2458.0
110,2010-06-11,2410.0
111,2010-06-14,2374.0
112,2010-06-15,2345.0
113,2010-06-16,2306.0
114,2010-06-17,2270.0
115,2010-06-18,2232.0
116,2010-06-21,2194.0
117,2010-06-22,2163.0
118,2010-06-23,2143.0
119,2010-06-24,2126.0
120,2010-06-25,2122.0
121,2010-06-28,2118.0
122,2010-06-29,2096.0
123,2010-06-30,2066.0
124,2010-07-01,2036.0
125,2010-07-02,1995.0
126,2010-07-05,1957.0
127,2010-07-06,1923.0
128,2010-07-07,1870.0
129,2010-07-08,1843.0
130,2010-07-09,1817.0
131,2010-07-12,1789.0
132,2010-07-13,1760.0
133,2010-07-14,1717.0
134,2010-07-15,1683.0
135,2010-07-16,1669.0
136,2010-07-19,1664.0
137,2010-07-20,1671.0
138,2010-07-21,1692.0
139,2010-07-22,1723.0
140,2010-07-23,1745.0
141,2010-07-26,1761.0
142,2010-07-27,1774.0
143,2010-07-28,1772.0
144,2010-07-29,1764.0
145,2010-07-30,1760.0
146,2010-08-02,1756.0
147,2010-08-03,1750.0
148,2010-08-04,1738.0
149,2010-08-05,1734.0
150,2010-08-06,1731.0
151,2010-08-09,1722.0
152,2010-08-10,1729.0
153,2010-08-11,1750.0
154,2010-08-12,1787.0
155,2010-08-13,1831.0
156,2010-08-16,1874.0
157,2010-08-17,1908.0
158,2010-08-18,1972.0
159,2010-08-19,2034.0
160,2010-08-20,2076.0
161,2010-08-23,2102.0
162,2010-08-24,2127.0
163,2010-08-25,2142.0
164,2010-08-26,2118.0
165,2010-08-27,2109.0
166,2010-08-31,2066.0
167,2010-09-01,2029.0
168,2010-09-02,1998.0
169,2010-09-03,1992.0
170,2010-09-06,1999.0
171,2010-09-07,2010.0
172,2010-09-08,2023.0
173,2010-09-09,2036.0
174,2010-09-10,2046.0
175,2010-09-13,2043.0
176,2010-09-14,2042.0
177,2010-09-15,2040.0
178,2010-09-16,2029.0
179,2010-09-17,2012.0
180,2010-09-20,1987.0
181,2010-09-21,1964.0
182,2010-09-22,1941.0
183,2010-09-23,1909.0
184,2010-09-24,1879.0
185,2010-09-27,1861.0
186,2010-09-28,1852.0
187,2010-09-29,1846.0
188,2010-09-30,1847.0
189,2010-10-01,1843.0
190,2010-10-04,1853.0
191,2010-10-05,1860.0
192,2010-10-06,1873.0
