"期間","新台幣NTD/USD"
"20100104","31.898"
"20100105","31.860"
"20100106","31.875"
"20100107","31.877"
"20100108","31.880"
"20100111","31.780"
"20100112","31.790"
"20100113","31.809"
"20100114","31.755"
"20100115","31.828"
"20100118","31.790"
"20100119","31.800"
"20100120","31.990"
"20100121","31.919"
"20100122","31.980"
"20100125","31.970"
"20100126","32.055"
"20100127","32.080"
"20100128","31.999"
"20100129","31.990"
"20100201","32.101"
"20100202","32.060"
"20100203","32.000"
"20100204","32.020"
"20100205","32.187"
"20100206","32.184"
"20100208","32.195"
"20100209","32.100"
"20100210","32.066"
"20100211","32.045"
"20100212","32.100"
"20100222","32.099"
"20100223","32.050"
"20100224","32.090"
"20100225","32.120"
"20100226","32.085"
"20100301","32.048"
"20100302","32.039"
"20100303","32.004"
"20100304","31.988"
"20100305","32.020"
"20100308","31.890"
"20100309","31.850"
"20100310","31.847"
"20100311","31.847"
"20100312","31.840"
"20100315","31.820"
"20100316","31.820"
"20100317","31.747"
"20100318","31.825"
"20100319","31.799"
"20100322","31.886"
"20100323","31.850"
"20100324","31.845"
"20100325","31.880"
"20100326","31.880"
"20100329","31.815"
"20100330","31.810"
"20100331","31.819"
"20100401","31.788"
"20100402","31.759"
"20100406","31.695"
"20100407","31.628"
"20100408","31.701"
"20100409","31.615"
"20100412","31.560"
"20100413","31.580"
"20100414","31.460"
"20100415","31.375"
"20100416","31.390"
"20100419","31.492"
"20100420","31.447"
"20100421","31.388"
"20100422","31.398"
"20100423","31.460"
"20100426","31.359"
"20100427","31.412"
"20100428","31.539"
"20100429","31.450"
"20100430","31.418"
"20100503","31.519"
"20100504","31.460"
"20100505","31.600"
"20100506","31.749"
"20100507","31.850"
"20100510","31.600"
"20100511","31.829"
"20100512","31.893"
"20100513","31.778"
"20100514","31.848"
"20100517","32.100"
"20100518","31.978"
"20100519","32.098"
"20100520","32.175"
"20100521","32.250"
"20100524","32.175"
"20100525","32.385"
"20100526","32.345"
"20100527","32.187"
"20100528","32.175"
"20100531","32.225"
"20100601","32.418"
"20100602","32.315"
"20100603","32.275"
"20100604","32.350"
"20100607","32.528"
"20100608","32.510"
"20100609","32.520"
"20100610","32.490"
"20100611","32.439"
"20100614","32.351"
"20100615","32.338"
"20100617","32.310"
"20100618","32.190"
"20100621","31.999"
"20100622","32.094"
"20100623","32.189"
"20100624","32.216"
"20100625","32.180"
"20100628","32.175"
"20100629","32.279"
"20100630","32.278"
"20100701","32.297"
"20100702","32.278"
"20100705","32.220"
"20100706","32.200"
"20100707","32.220"
"20100708","32.185"
"20100709","32.125"
"20100712","32.250"
"20100713","32.300"
"20100714","32.192"
"20100715","32.187"
"20100716","32.143"
"20100719","32.155"
"20100720","32.155"
"20100721","32.150"
"20100722","32.190"
"20100723","32.152"
"20100726","32.120"
"20100727","32.090"
"20100728","32.070"
"20100729","32.068"
"20100730","32.050"
"20100802","31.868"
"20100803","31.850"
"20100804","31.870"
"20100805","31.850"
"20100806","31.819"
"20100809","31.782"
"20100810","31.855"
"20100811","31.880"
"20100812","31.990"
"20100813","31.960"
"20100816","32.010"
"20100817","31.970"
"20100818","31.966"
"20100819","31.930"
"20100820","31.935"
"20100823","31.968"
"20100824","32.080"
"20100825","32.055"
"20100826","32.037"
"20100827","32.030"
"20100830","32.060"
"20100831","32.102"
"20100901","32.075"
"20100902","32.040"
"20100903","32.018"
"20100906","31.948"
"20100907","32.016"
"20100908","31.979"
"20100909","31.939"
"20100910","31.910"
"20100913","31.850"
"20100914","31.815"
"20100915","31.798"
"20100916","31.800"
"20100917","31.739"
"20100920","31.752"
"20100921","31.765"
"20100923","31.600"
"20100924","31.620"
"20100927","31.470"
"20100928","31.500"
"20100929","31.380"
"20100930","31.330"
"20101001","31.310"
"20101004","31.250"
"20101005","31.252"
"20101006","31.132"
"20101007","31.042"
"20101008","31.095"
"20101011","30.998"
"20101012","31.070"
"20101013","30.960"
"20101014","30.770"
"20101015","30.793"
"20101018","30.885"
"20101019","30.900"
"20101020","30.930"
"20101021","30.869"
"20101022","30.910"
"20101025","30.730"
"20101026","30.760"
"20101027","30.900"
"20101028","30.824"
"20101029","30.782"
"20101101","30.695"
"20101102","30.709"
"20101103","30.650"
"20101104","30.590"
"20101105","30.560"
"20101108","30.636"
"20101109","30.630"
"20101110","30.600"
"20101111","30.532"
"20101112","30.762"
"20101115","30.732"
"20101116","30.732"
"20101117","30.793"
"20101118","30.733"
"20101119","30.673"
"20101122","30.628"
"20101123","30.799"
"20101124","30.800"
"20101125","30.800"
"20101126","30.830"
"20101129","30.800"
"20101130","30.850"
"20101201","30.852"
"20101202","30.788"
"20101203","30.745"
"20101206","30.625"
"20101207","30.630"
"20101208","30.706"
"20101209","30.555"
"20101210","30.585"
"20101213","30.600"
"20101214","30.450"
"20101215","30.500"
"20101216","30.545"
"20101217","30.510"
"20101220","30.601"
"20101221","30.600"
"20101222","30.605"
"20101223","30.485"
"20101224","30.485"
"20101227","30.425"
"20101228","30.396"
"20101229","30.367"
"20101230","30.217"
"20101231","30.368"
"20110103","30.200"
"20110104","30.201"
"20110105","30.211"
"20110106","30.101"
"20110107","29.800"
"20110110","29.800"
"20110111","29.700"
"20110112","29.600"
"20110113","29.605"
"20110114","29.600"
"20110117","29.500"
"20110118","29.450"
"20110119","29.450"
"20110120","29.460"
"20110121","29.420"
"20110124","29.320"
"20110125","29.290"
"20110126","29.300"
"20110127","29.310"
"20110128","29.280"
"20110131","29.300"
"20110201","29.200"
"20110208","29.160"
"20110209","29.100"
"20110210","29.120"
"20110211","29.230"
"20110214","29.329"
"20110215","29.469"
"20110216","29.470"
"20110217","29.432"
"20110218","29.408"
"20110221","29.366"
"20110222","29.557"
"20110223","29.572"
"20110224","29.760"
"20110225","29.754"
"20110301","29.660"
"20110302","29.665"
"20110303","29.542"
"20110304","29.462"
"20110307","29.426"
"20110308","29.437"
"20110309","29.395"
"20110310","29.506"
"20110311","29.599"
"20110314","29.509"
"20110315","29.559"
"20110316","29.556"
"20110317","29.574"
"20110318","29.600"
"20110321","29.572"
"20110322","29.542"
"20110323","29.585"
"20110324","29.583"
"20110325","29.488"
"20110328","29.499"
"20110329","29.477"
"20110330","29.510"
"20110331","29.418"
"20110401","29.320"
"20110406","29.150"
"20110407","29.050"
"20110408","28.991"
"20110411","28.992"
"20110412","29.112"
"20110413","29.089"
"20110414","29.041"
"20110415","29.050"
"20110418","29.089"
"20110419","29.125"
"20110420","29.025"
"20110421","28.926"
"20110422","28.930"
"20110425","28.930"
"20110426","28.939"
"20110427","28.900"
"20110428","28.760"
"20110429","28.762"
"20110503","28.702"
"20110504","28.670"
"20110505","28.632"
"20110506","28.778"
"20110509","28.750"
"20110510","28.725"
"20110511","28.650"
"20110512","28.793"
"20110513","28.788"
"20110516","28.888"
"20110517","28.865"
"20110518","28.850"
"20110519","28.852"
"20110520","28.780"
"20110523","29.009"
"20110524","28.930"
"20110525","29.009"
"20110526","28.945"
"20110527","28.888"
"20110530","28.830"
"20110531","28.772"
"20110601","28.700"
"20110602","28.785"
"20110603","28.750"
"20110607","28.735"
"20110608","28.720"
"20110609","28.780"
"20110610","28.835"
"20110613","28.892"
"20110614","28.850"
"20110615","28.860"
"20110616","29.005"
"20110617","29.000"
"20110620","29.000"
"20110621","28.949"
"20110622","28.879"
"20110623","28.936"
"20110624","28.962"
"20110627","29.010"
"20110628","28.962"
"20110629","28.920"
"20110630","28.802"
"20110701","28.780"
"20110704","28.752"
"20110705","28.801"
"20110706","28.851"
"20110707","28.860"
"20110708","28.795"
"20110711","28.866"
"20110712","28.998"
"20110713","28.900"
"20110714","28.839"
"20110715","28.897"
"20110718","28.960"
"20110719","28.920"
"20110720","28.870"
"20110721","28.890"
"20110722","28.830"
"20110725","28.859"
"20110726","28.829"
"20110727","28.802"
"20110728","28.845"
"20110729","28.890"
"20110801","28.838"
"20110802","28.880"
"20110803","28.938"
"20110804","28.952"
"20110805","29.025"
"20110808","29.025"
"20110809","29.050"
"20110810","29.010"
"20110811","29.060"
"20110812","29.009"
"20110815","28.952"
"20110816","28.948"
"20110817","28.962"
"20110818","28.990"
"20110819","29.076"
"20110822","29.020"
"20110823","28.990"
"20110824","29.025"
"20110825","29.041"
"20110826","29.060"
"20110829","29.039"
"20110830","29.035"
"20110831","29.020"
"20110901","28.960"
"20110902","29.025"
"20110905","29.071"
"20110906","29.112"
"20110907","29.115"
"20110908","29.150"
"20110909","29.221"
"20110913","29.487"
"20110914","29.625"
"20110915","29.635"
"20110916","29.584"
"20110919","29.780"
"20110920","29.888"
"20110921","29.950"
"20110922","30.372"
"20110923","30.388"
"20110926","30.572"
"20110927","30.456"
"20110928","30.410"
"20110929","30.440"
"20110930","30.506"
"20111003","30.587"
"20111004","30.680"
"20111005","30.632"
"20111006","30.612"
"20111007","30.493"
"20111011","30.348"
"20111012","30.400"
"20111013","30.329"
"20111014","30.300"
"20111017","30.100"
"20111018","30.201"
"20111019","30.100"
"20111020","30.269"
"20111021","30.299"
"20111024","30.133"
"20111025","30.125"
"20111026","30.125"
"20111027","30.063"
"20111028","29.869"
"20111031","29.930"
"20111101","30.086"
"20111102","30.118"
"20111103","30.220"
"20111104","30.025"
"20111107","30.108"
"20111108","30.106"
"20111109","30.066"
"20111110","30.262"
"20111111","30.188"
"20111114","30.165"
"20111115","30.210"
"20111116","30.230"
"20111117","30.210"
"20111118","30.257"
"20111121","30.260"
"20111122","30.309"
"20111123","30.395"
"20111124","30.442"
"20111125","30.460"
"20111128","30.452"
"20111129","30.412"
"20111130","30.345"
"20111201","30.146"
"20111202","30.160"
"20111205","30.182"
"20111206","30.225"
"20111207","30.168"
"20111208","30.179"
"20111209","30.239"
"20111212","30.230"
"20111213","30.260"
"20111214","30.290"
"20111215","30.370"
"20111216","30.369"
"20111219","30.398"
"20111220","30.353"
"20111221","30.285"
"20111222","30.325"
"20111223","30.296"
"20111226","30.308"
"20111227","30.312"
"20111228","30.310"
"20111229","30.290"
"20111230","30.290"
"20120102","30.315"
"20120103","30.294"
"20120104","30.290"
"20120105","30.266"
"20120106","30.245"
"20120109","30.205"
"20120110","30.051"
"20120111","29.999"
"20120112","30.002"
"20120113","30.000"
"20120116","30.070"
"20120117","29.995"
"20120118","29.978"
"20120119","29.941"
"20120120","29.990"
"20120130","29.786"
"20120131","29.620"
"20120201","29.695"
"20120202","29.550"
"20120203","29.545"
"20120204","29.525"
"20120206","29.600"
"20120207","29.570"
"20120208","29.530"
"20120209","29.495"
"20120210","29.560"
"20120213","29.535"
"20120214","29.595"
"20120215","29.535"
"20120216","29.635"
"20120217","29.583"
"20120220","29.554"
"20120221","29.568"
"20120222","29.582"
"20120223","29.596"
"20120224","29.582"
"20120229","29.420"
"20120301","29.487"
"20120302","29.461"
"20120303","29.464"
"20120305","29.518"
"20120306","29.538"
"20120307","29.565"
"20120308","29.527"
"20120309","29.504"
"20120312","29.562"
"20120313","29.528"
"20120314","29.560"
"20120315","29.570"
"20120316","29.562"
"20120319","29.532"
"20120320","29.558"
"20120321","29.576"
"20120322","29.574"
"20120323","29.585"
"20120326","29.622"
"20120327","29.584"
"20120328","29.570"
"20120329","29.582"
"20120330","29.530"
"20120402","29.506"
"20120403","29.480"
"20120405","29.519"
"20120406","29.562"
"20120409","29.568"
"20120410","29.570"
"20120411","29.562"
"20120412","29.550"
"20120413","29.528"
"20120416","29.564"
"20120417","29.542"
"20120418","29.546"
"20120419","29.532"
"20120420","29.521"
"20120423","29.524"
"20120424","29.526"
"20120425","29.514"
"20120426","29.412"
"20120427","29.332"
"20120430","29.232"
"20120502","29.240"
"20120503","29.266"
"20120504","29.280"
"20120507","29.382"
"20120508","29.370"
"20120509","29.400"
"20120510","29.395"
"20120511","29.410"
"20120514","29.502"
"20120515","29.514"
"20120516","29.635"
"20120517","29.560"
"20120518","29.630"
"20120521","29.578"
"20120522","29.546"
"20120523","29.586"
"20120524","29.645"
"20120525","29.650"
"20120528","29.650"
"20120529","29.645"
"20120530","29.762"
"20120531","29.860"
"20120601","29.931"
"20120604","30.050"
"20120605","30.000"
"20120606","29.935"
"20120607","29.906"
"20120608","29.976"
"20120611","29.920"
"20120612","29.991"
"20120613","29.980"
"20120614","29.954"
"20120615","29.931"
"20120618","29.886"
"20120619","29.890"
"20120620","29.878"
"20120621","29.902"
"20120622","29.968"
"20120625","29.995"
"20120626","29.990"
"20120627","29.960"
"20120628","29.956"
"20120629","29.900"
"20120702","29.905"
"20120703","29.886"
"20120704","29.866"
"20120705","29.890"
"20120706","29.922"
"20120709","29.975"
"20120710","29.985"
"20120711","29.974"
"20120712","30.013"
"20120713","30.015"
"20120716","30.010"
"20120717","29.988"
"20120718","30.002"
"20120719","29.984"
"20120720","29.995"
"20120723","30.095"
"20120724","30.116"
"20120725","30.206"
"20120726","30.150"
"20120727","30.100"
"20120730","30.080"
"20120731","30.010"
"20120801","29.988"
"20120803","30.002"
"20120806","29.960"
"20120807","29.955"
"20120808","29.987"
"20120809","29.940"
"20120810","29.990"
"20120813","30.005"
"20120814","29.965"
"20120815","30.002"
"20120816","30.020"
"20120817","30.025"
"20120820","30.030"
"20120821","29.975"
"20120822","30.010"
"20120823","29.960"
"20120824","30.002"
"20120827","29.980"
"20120828","30.007"
"20120829","29.981"
