Date,Price,Open,High,Low,Vol.,Change %
2021-06-30,214.55,214.55,214.55,214.55,-,0.09%
2021-06-29,214.36,214.36,214.36,214.36,-,-0.42%
2021-06-28,215.26,215.26,215.26,215.26,-,0.51%
2021-06-25,214.17,214.17,214.17,214.17,-,0.20%
2021-06-24,213.75,213.75,213.75,213.75,-,-0.02%
2021-06-23,213.8,213.8,213.8,213.8,-,0.16%
2021-06-22,213.45,213.45,213.45,213.45,0.04K,0.33%
2021-06-21,212.75,212.75,212.75,212.75,-,-0.68%
2021-06-18,214.21,214.21,214.21,214.21,-,-0.22%
2021-06-17,214.69,214.69,214.69,214.69,-,0.54%
2021-06-16,213.53,213.53,213.53,213.53,-,-0.20%
2021-06-15,213.96,213.96,213.96,213.96,-,-0.04%
2021-06-14,214.05,214.05,214.05,214.05,-,0.43%
2021-06-11,213.13,213.13,213.13,213.13,-,0.58%
2021-06-10,211.91,211.91,211.91,211.91,-,0.82%
2021-06-09,210.19,210.19,210.19,210.19,-,1.13%
2021-06-08,207.84,207.84,207.84,207.84,-,2.68%
2021-06-07,202.41,202.41,202.41,202.41,-,-1.88%
2021-06-04,206.29,206.29,206.29,206.29,-,-0.82%
2021-06-03,208,208,208,208,-,1.48%
2021-06-02,204.96,204.96,204.96,204.96,-,0.03%
2021-06-01,204.9,204.9,204.9,204.9,-,-0.40%
2021-05-28,205.73,205.73,205.73,205.73,-,-0.31%
2021-05-27,206.37,206.37,206.37,206.37,-,-0.25%
2021-05-26,206.89,206.89,206.89,206.89,-,-0.06%
2021-05-25,207.01,207.01,207.01,207.01,-,-0.57%
2021-05-24,208.2,208.2,208.2,208.2,-,-0.44%
2021-05-21,209.13,209.13,209.13,209.13,0.04K,-0.96%
2021-05-20,211.15,211.15,211.15,211.15,-,-0.38%
2021-05-19,211.96,211.96,211.96,211.96,-,-0.60%
2021-05-18,213.23,213.23,213.23,213.23,-,-0.82%
2021-05-17,214.99,214.99,214.99,214.99,-,2.34%
2021-05-14,210.08,210.08,210.08,210.08,-,-0.93%
2021-05-13,212.05,212.05,212.05,212.05,0.02K,-2.90%
2021-05-12,218.38,218.38,218.38,218.38,-,1.44%
2021-05-11,215.29,215.29,215.29,215.29,-,-0.09%
2021-05-10,215.48,215.48,215.48,215.48,0.05K,5.45%
2021-05-07,204.35,204.35,204.35,204.35,-,3.37%
2021-05-06,197.68,197.68,197.68,197.68,-,3.82%
2021-05-05,190.41,190.41,190.41,190.41,-,0.36%
2021-05-04,189.72,189.72,189.72,189.72,-,2.53%
2021-05-03,185.04,185.04,185.04,185.04,-,3.01%
2021-04-30,179.63,179.63,179.63,179.63,-,0.18%
2021-04-29,179.31,179.31,179.31,179.31,-,0.29%
2021-04-28,178.8,178.8,178.8,178.8,-,-0.11%
2021-04-27,178.99,178.99,178.99,178.99,-,0.79%
2021-04-26,177.58,177.58,177.58,177.58,-,0.35%
2021-04-23,176.96,176.96,176.96,176.96,-,0.35%
2021-04-22,176.35,176.35,176.35,176.35,-,0.09%
2021-04-21,176.2,176.2,176.2,176.2,-,-1.31%
2021-04-20,178.54,178.54,178.54,178.54,-,2.19%
2021-04-19,174.72,174.72,174.72,174.72,-,-0.10%
2021-04-16,174.89,174.89,174.89,174.89,-,1.09%
2021-04-15,173.01,173.01,173.01,173.01,-,0.93%
2021-04-14,171.42,171.42,171.42,171.42,-,0.22%
2021-04-13,171.04,171.04,171.04,171.04,-,0.01%
2021-04-12,171.03,171.03,171.03,171.03,-,0.42%
2021-04-09,170.32,170.32,170.32,170.32,0.03K,-0.08%
2021-04-08,170.45,170.45,170.45,170.45,0.04K,0.71%
2021-04-07,169.24,169.24,169.24,169.24,-,1.35%
2021-04-06,166.98,166.98,166.98,166.98,-,1.89%
2021-04-05,163.89,163.89,163.89,163.89,-,0.13%
