Date,Price,Open,High,Low,Vol.,Change %
2021-06-30,"18,225.00","18,387.50","18,565.00","18,182.50",-,-0.90%
2021-06-29,"18,390.00","18,272.50","18,412.50","18,115.00",-,0.60%
2021-06-28,"18,280.00","18,560.00","18,597.50","18,215.00",-,-1.55%
2021-06-25,"18,567.50","18,450.00","18,587.50","18,415.00",-,0.65%
2021-06-24,"18,447.50","18,067.50","18,497.50","17,902.50",-,2.07%
2021-06-23,"18,072.50","17,767.50","18,077.50","17,720.00",-,1.75%
2021-06-22,"17,762.50","17,477.50","17,827.50","17,430.00",-,1.60%
2021-06-21,"17,482.50","17,197.50","17,547.50","17,170.00",-,1.78%
2021-06-18,"17,177.50","17,190.00","17,445.00","17,107.50",-,-0.15%
2021-06-17,"17,202.50","17,350.00","17,512.50","17,095.00",-,-2.02%
2021-06-16,"17,557.50","17,590.00","17,707.50","17,427.50",-,-0.16%
2021-06-15,"17,585.00","18,440.00","18,455.00","17,530.00",-,-4.78%
2021-06-14,"18,467.50","18,300.00","18,492.50","18,242.50",-,0.76%
2021-06-11,"18,327.50","18,212.50","18,427.50","18,177.50",-,0.73%
2021-06-10,"18,195.00","18,097.50","18,327.50","17,797.50",-,0.34%
2021-06-09,"18,132.50","17,967.50","18,195.00","17,957.50",-,0.82%
2021-06-08,"17,985.00","17,967.50","18,057.50","17,745.00",-,0.21%
2021-06-07,"17,947.50","18,005.00","18,030.00","17,655.00",-,-0.26%
2021-06-04,"17,995.00","17,935.00","18,180.00","17,797.50",-,0.42%
2021-06-03,"17,920.00","18,227.50","18,472.50","17,757.50",-,-1.54%
2021-06-02,"18,200.00","18,127.50","18,365.00","18,065.00",-,0.50%
2021-06-01,"18,110.00","18,180.00","18,407.50","18,005.00",-,-0.43%
2021-05-28,"18,187.50","18,050.00","18,232.50","17,772.50",-,0.89%
2021-05-27,"18,027.50","17,280.00","18,207.50","17,132.50",-,4.21%
2021-05-26,"17,300.00","17,090.00","17,360.00","17,047.50",-,1.27%
2021-05-25,"17,082.50","17,162.50","17,225.00","16,997.50",-,-0.38%
2021-05-24,"17,147.50","16,745.00","17,227.50","16,627.50",-,2.50%
2021-05-21,"16,730.00","17,087.50","17,187.50","16,657.50",-,-2.14%
2021-05-20,"17,095.00","17,300.00","17,470.00","17,070.00",-,-1.46%
2021-05-19,"17,347.50","17,990.00","18,087.50","17,285.00",-,-3.75%
2021-05-18,"18,022.50","17,935.00","18,217.50","17,930.00",-,0.50%
2021-05-17,"17,932.50","17,660.00","17,945.00","17,540.00",-,1.61%
2021-05-14,"17,647.50","17,330.00","17,695.00","17,070.00",-,1.80%
2021-05-13,"17,335.00","17,770.00","17,782.50","17,152.50",-,-2.45%
2021-05-12,"17,770.00","17,970.00","18,177.50","17,675.00",-,-1.20%
2021-05-11,"17,985.00","17,695.00","18,055.00","17,620.00",-,1.54%
2021-05-10,"17,712.50","18,172.50","18,257.50","17,627.50",-,-1.92%
2021-05-07,"18,060.00","17,937.50","18,112.50","17,765.00",-,0.89%
2021-05-06,"17,900.00","17,840.00","18,032.50","17,435.00",-,0.11%
2021-05-05,"17,880.00","17,747.50","18,032.50","17,712.50",-,1.09%
2021-05-04,"17,687.50","17,665.00","17,992.50","17,580.00",-,0.58%
2021-04-30,"17,585.00","17,315.00","17,697.50","17,222.50",-,1.78%
2021-04-29,"17,277.50","17,420.00","17,587.50","17,172.50",-,-0.58%
2021-04-28,"17,377.50","16,952.50","17,437.50","16,847.50",-,2.39%
2021-04-27,"16,972.50","16,685.00","16,997.50","16,657.50",-,1.81%
2021-04-26,"16,670.00","16,387.50","16,697.50","16,315.00",-,1.80%
2021-04-23,"16,375.00","16,012.50","16,410.00","15,927.50",-,2.39%
2021-04-22,"15,992.50","16,225.00","16,232.50","15,960.00",-,-1.46%
2021-04-21,"16,230.00","15,990.00","16,272.50","15,982.50",-,1.53%
2021-04-20,"15,985.00","16,185.00","16,322.50","15,947.50",-,-0.88%
2021-04-19,"16,127.50","16,235.00","16,235.00","16,012.50",-,-0.22%
2021-04-16,"16,162.50","16,355.00","16,482.50","16,110.00",-,-1.04%
2021-04-15,"16,332.50","16,350.00","16,412.50","16,062.50",-,-0.23%
2021-04-14,"16,370.00","16,117.50","16,397.50","16,047.50",-,1.84%
2021-04-13,"16,075.00","16,170.00","16,285.00","16,052.50",-,-0.56%
2021-04-12,"16,165.00","16,667.50","16,687.50","16,127.50",-,-2.85%
2021-04-09,"16,640.00","16,800.00","16,862.50","16,547.50",-,-1.07%
2021-04-08,"16,820.00","16,647.50","16,872.50","16,465.00",-,1.14%
2021-04-07,"16,630.00","16,725.00","16,775.00","16,590.00",-,-0.61%
2021-04-06,"16,732.50","16,372.50","16,792.50","16,327.50",-,3.16%
2021-04-01,"16,220.00","16,150.00","16,245.00","15,947.50",-,0.57%
2021-03-31,"16,127.50","15,955.00","16,177.50","15,872.50",-,1.45%
2021-03-30,"15,897.50","16,200.00","16,395.00","15,847.50",-,-1.88%
2021-03-29,"16,202.50","16,410.00","16,457.50","16,112.50",-,-1.16%
2021-03-26,"16,392.50","16,182.50","16,445.00","16,152.50",-,1.36%
2021-03-25,"16,172.50","16,147.50","16,232.50","15,945.00",-,0.03%
2021-03-24,"16,167.50","16,102.50","16,245.00","16,055.00",-,0.70%
2021-03-23,"16,055.00","16,450.00","16,677.50","16,025.00",-,-2.40%
2021-03-22,"16,450.00","16,230.00","16,547.50","16,157.50",-,1.15%
2021-03-19,"16,262.50","15,995.00","16,332.50","15,802.50",-,1.56%
2021-03-18,"16,012.50","16,182.50","16,332.50","16,012.50",-,-1.17%
2021-03-17,"16,202.50","16,130.00","16,205.00","15,940.00",-,0.50%
2021-03-16,"16,122.50","16,182.50","16,320.00","16,025.00",-,-0.48%
2021-03-15,"16,200.00","16,025.00","16,375.00","15,852.50",-,1.23%
2021-03-12,"16,002.50","16,315.00","16,327.50","15,907.50",-,-1.95%
2021-03-11,"16,320.00","16,117.50","16,535.00","16,057.50",-,1.22%
2021-03-10,"16,122.50","16,127.50","16,350.00","15,930.00",-,-0.22%
2021-03-09,"16,157.50","16,380.00","16,412.50","15,670.00",-,-1.31%
2021-03-08,"16,372.50","16,540.00","16,627.50","16,067.50",-,0.34%
2021-03-05,"16,317.50","15,930.00","16,685.00","15,902.50",-,2.08%
2021-03-04,"15,985.00","17,222.50","17,470.00","15,952.50",-,-7.68%
2021-03-03,"17,315.00","18,682.50","18,732.50","17,220.00",-,-7.49%
2021-03-02,"18,717.50","18,647.50","18,722.50","18,280.00",-,0.56%
2021-03-01,"18,612.50","18,672.50","18,887.50","18,505.00",-,0.27%
2021-02-26,"18,562.50","18,875.00","19,127.50","18,517.50",-,-1.75%
2021-02-25,"18,892.50","19,895.00","19,965.00","18,745.00",-,-4.90%
2021-02-24,"19,865.00","19,367.50","19,882.50","19,107.50",-,2.46%
2021-02-23,"19,387.50","19,525.00","19,895.00","18,995.00",-,-0.63%
2021-02-22,"19,510.00","19,727.50","20,107.50","19,315.00",-,-0.71%
2021-02-19,"19,650.00","19,192.50","19,807.50","19,092.50",-,2.33%
2021-02-18,"19,202.50","18,767.50","19,207.50","18,730.00",-,2.26%
2021-02-17,"18,777.50","18,805.00","18,837.50","18,677.50",-,-0.31%
2021-02-16,"18,835.00","18,622.50","18,857.50","18,515.00",-,1.28%
2021-02-15,"18,597.50","18,625.00","18,787.50","18,585.00",-,-0.07%
2021-02-12,"18,610.00","18,600.00","18,642.50","18,262.50",-,-0.01%
2021-02-11,"18,612.50","18,635.00","18,717.50","18,572.50",-,-0.53%
2021-02-10,"18,712.50","18,352.50","18,717.50","18,245.00",-,1.80%
2021-02-09,"18,382.50","18,195.00","18,417.50","18,117.50",-,1.10%
2021-02-08,"18,182.50","18,102.50","18,190.00","18,042.50",-,0.46%
2021-02-05,"18,100.00","17,637.50","18,117.50","17,637.50",-,2.72%
2021-02-04,"17,620.00","17,640.00","17,720.00","17,482.50",-,0.04%
2021-02-03,"17,612.50","17,750.00","17,822.50","17,522.50",-,-0.63%
2021-02-02,"17,725.00","17,890.00","17,935.00","17,657.50",-,-0.91%
2021-02-01,"17,887.50","17,700.00","17,965.00","17,692.50",-,1.20%
2021-01-29,"17,675.00","17,780.00","18,010.00","17,520.00",-,-0.87%
2021-01-28,"17,830.00","17,785.00","17,972.50","17,562.50",-,0.08%
2021-01-27,"17,815.00","18,117.50","18,185.00","17,687.50",-,-1.55%
2021-01-26,"18,095.00","18,282.50","18,355.00","18,037.50",-,-1.09%
2021-01-25,"18,295.00","18,212.50","18,477.50","18,112.50",-,0.52%
2021-01-22,"18,200.00","18,365.00","18,407.50","17,860.00",-,-0.99%
2021-01-21,"18,382.50","18,210.00","18,510.00","18,200.00",-,1.03%
2021-01-20,"18,195.00","18,210.00","18,262.50","18,022.50",-,0.05%
2021-01-19,"18,185.00","18,132.50","18,405.00","17,952.50",-,0.48%
2021-01-18,"18,097.50","18,005.00","18,237.50","18,005.00",-,0.30%
2021-01-15,"18,042.50","18,322.50","18,452.50","17,792.50",-,-1.51%
2021-01-14,"18,320.00","17,697.50","18,397.50","17,605.00",-,3.62%
2021-01-13,"17,680.00","17,782.50","17,870.00","17,500.00",-,0.04%
2021-01-12,"17,672.50","17,172.50","17,715.00","17,157.50",-,2.73%
2021-01-11,"17,202.50","17,525.00","17,632.50","17,037.50",-,-1.84%
2021-01-08,"17,525.00","18,095.00","18,167.50","17,467.50",-,-3.12%
2021-01-07,"18,090.00","17,792.50","18,195.00","17,757.50",-,1.77%
2021-01-06,"17,775.00","17,767.50","17,937.50","17,517.50",-,0.24%
2021-01-05,"17,732.50","17,387.50","17,757.50","17,327.50",-,2.09%
2021-01-04,"17,370.00","16,660.00","17,505.00","16,660.00",-,4.72%
2020-12-31,"16,587.50","16,790.00","16,872.50","16,562.50",-,-1.06%
2020-12-30,"16,765.00","16,892.50","16,982.50","16,715.00",-,-0.73%
2020-12-29,"16,887.50","17,237.50","17,405.00","16,857.50",-,-0.85%
2020-12-24,"17,032.50","16,887.50","17,130.00","16,797.50",-,0.93%
2020-12-23,"16,875.00","16,682.50","16,965.00","16,295.00",-,0.99%
2020-12-22,"16,710.00","17,315.00","17,430.00","16,582.50",-,-3.65%
2020-12-21,"17,342.50","17,465.00","17,805.00","17,087.50",-,-0.86%
2020-12-18,"17,492.50","17,490.00","17,717.50","17,430.00",-,0.00%
2020-12-17,"17,492.50","17,412.50","17,665.00","17,312.50",-,0.63%
2020-12-16,"17,382.50","17,635.00","17,727.50","17,282.50",-,-1.49%
2020-12-15,"17,645.00","17,592.50","17,877.50","17,482.50",-,0.13%
2020-12-14,"17,622.50","17,355.00","17,782.50","17,282.50",-,1.69%
2020-12-11,"17,330.00","17,445.00","17,662.50","17,132.50",-,-0.36%
2020-12-10,"17,392.50","16,667.50","17,497.50","16,610.00",-,4.18%
2020-12-09,"16,695.00","16,387.50","16,835.00","16,362.50",-,1.91%
2020-12-08,"16,382.50","16,327.50","16,530.00","16,282.50",-,0.26%
2020-12-07,"16,340.00","16,365.00","16,457.50","16,292.50",-,-0.09%
2020-12-04,"16,355.00","15,962.50","16,417.50","15,887.50",-,2.41%
2020-12-03,"15,970.00","15,985.00","16,042.50","15,825.00",-,-0.08%
2020-12-02,"15,982.50","16,215.00","16,265.00","15,827.50",-,-1.52%
2020-12-01,"16,230.00","16,065.00","16,287.50","15,967.50",-,1.11%
2020-11-30,"16,052.50","16,412.50","16,520.00","15,995.00",-,-2.25%
2020-11-27,"16,422.50","16,285.00","16,487.50","16,265.00",-,0.88%
2020-11-26,"16,280.00","16,107.50","16,312.50","16,020.00",-,1.24%
2020-11-25,"16,080.00","16,262.50","16,297.50","15,940.00",-,-1.05%
2020-11-24,"16,250.00","16,042.50","16,260.00","16,000.00",-,1.17%
2020-11-23,"16,062.50","16,160.00","16,237.50","15,895.00",-,-0.59%
2020-11-20,"16,157.50","15,870.00","16,167.50","15,772.50",-,2.02%
2020-11-19,"15,837.50","15,720.00","15,927.50","15,620.00",-,0.54%
2020-11-18,"15,752.50","15,890.00","15,915.00","15,727.50",-,-0.94%
2020-11-17,"15,902.50","15,927.50","15,950.00","15,657.50",-,0.03%
2020-11-16,"15,897.50","15,952.50","16,150.00","15,815.00",-,-0.28%
2020-11-13,"15,942.50","15,912.50","15,987.50","15,725.00",-,0.24%
2020-11-12,"15,905.00","15,972.50","16,087.50","15,870.00",-,-0.61%
2020-11-11,"16,002.50","15,915.00","16,022.50","15,710.00",-,0.60%
2020-11-10,"15,907.50","15,752.50","15,942.50","15,635.00",-,0.74%
2020-11-09,"15,790.00","15,470.00","15,947.50","15,445.00",-,2.93%
2020-11-06,"15,340.00","15,545.00","15,652.50","15,267.50",-,-1.49%
2020-11-05,"15,572.50","15,382.50","15,587.50","15,247.50",-,0.99%
2020-11-04,"15,420.00","15,315.00","15,460.00","14,932.50",-,0.54%
2020-11-03,"15,337.50","15,235.00","15,440.00","15,182.50",-,0.84%
2020-11-02,"15,210.00","15,145.00","15,285.00","15,045.00",-,0.00%
2020-10-30,"15,210.00","15,542.50","15,602.50","15,142.50",-,-2.20%
2020-10-29,"15,552.50","15,737.50","15,980.00","15,335.00",-,-1.11%
2020-10-28,"15,727.50","15,865.00","16,307.50","15,642.50",-,-1.08%
2020-10-27,"15,900.00","15,625.00","15,940.00","15,582.50",-,1.86%
2020-10-26,"15,610.00","15,592.50","15,672.50","15,362.50",-,0.02%
2020-10-23,"15,607.50","15,787.50","15,895.00","15,557.50",-,-1.20%
2020-10-22,"15,797.50","15,880.00","15,880.00","15,707.50",-,-0.69%
2020-10-21,"15,907.50","16,022.50","16,130.00","15,785.00",-,-0.92%
2020-10-20,"16,055.00","15,647.50","16,062.50","15,620.00",-,2.54%
2020-10-19,"15,657.50","15,665.00","15,812.50","15,612.50",-,-0.11%
2020-10-16,"15,675.00","15,425.00","15,732.50","15,382.50",-,1.70%
2020-10-15,"15,412.50","15,502.50","15,585.00","15,302.50",-,-0.71%
2020-10-14,"15,522.50","15,042.50","15,605.00","14,990.00",-,3.21%
2020-10-13,"15,040.00","15,175.00","15,257.50","14,990.00",-,-1.02%
2020-10-12,"15,195.00","15,157.50","15,287.50","15,045.00",-,0.05%
2020-10-09,"15,187.50","14,657.50","15,265.00","14,657.50",-,3.72%
2020-10-08,"14,642.50","14,575.00","14,827.50","14,527.50",-,0.62%
2020-10-07,"14,552.50","14,442.50","14,707.50","14,417.50",-,0.12%
2020-10-06,"14,535.00","14,595.00","14,742.50","14,482.50",-,-0.15%
2020-10-05,"14,557.50","14,355.00","14,655.00","14,245.00",-,1.59%
2020-10-02,"14,330.00","14,337.50","14,522.50","14,047.50",-,0.09%
2020-10-01,"14,317.50","14,495.00","14,642.50","14,207.50",-,-1.24%
2020-09-30,"14,497.50","14,437.50","14,595.00","14,275.00",-,0.29%
2020-09-29,"14,455.00","14,497.50","14,642.50","14,355.00",-,-0.34%
2020-09-28,"14,505.00","14,357.50","14,555.00","14,247.50",-,0.82%
2020-09-25,"14,387.50","14,337.50","14,477.50","14,240.00",-,0.14%
2020-09-24,"14,367.50","14,362.50","14,397.50","14,127.50",-,-0.23%
