Date,Price,Open,High,Low,Vol.,Change %
2021-06-30,"1,810.00","1,801.00","1,815.00","1,801.00",0.05K,8.90%
2021-06-29,"1,662.00","1,660.00","1,660.00","1,660.00",0.00K,-0.12%
2021-06-28,"1,664.00","1,664.00","1,664.00","1,664.00",-,0.00%
2021-06-25,"1,664.00","1,664.00","1,664.00","1,664.00",-,0.00%
2021-06-24,"1,664.00","1,659.00","1,666.00","1,658.00",0.11K,0.36%
2021-06-23,"1,658.00","1,658.00","1,661.00","1,653.00",0.03K,0.00%
2021-06-22,"1,658.00","1,652.00","1,652.00","1,652.00",0.07K,-0.18%
2021-06-21,"1,661.00","1,656.00","1,656.00","1,656.00",0.00K,0.00%
2021-06-18,"1,661.00","1,660.00","1,662.00","1,660.00",0.00K,0.06%
2021-06-17,"1,660.00","1,662.00","1,662.00","1,660.00",0.04K,0.00%
2021-06-16,"1,660.00","1,660.00","1,660.00","1,660.00",0.05K,0.12%
2021-06-15,"1,658.00","1,653.00","1,660.00","1,653.00",0.08K,0.18%
2021-06-14,"1,655.00","1,655.00","1,655.00","1,655.00",0.00K,0.49%
2021-06-11,"1,647.00","1,642.00","1,656.00","1,642.00",0.06K,0.00%
2021-06-10,"1,647.00","1,647.00","1,647.00","1,647.00",-,-0.18%
2021-06-09,"1,650.00","1,651.00","1,651.00","1,650.00",0.00K,0.00%
2021-06-08,"1,650.00","1,632.00","1,651.00","1,632.00",0.02K,0.12%
2021-06-07,"1,648.00","1,642.00","1,642.00","1,641.00",0.13K,-0.30%
2021-06-04,"1,653.00","1,650.00","1,653.00","1,650.00",0.06K,0.18%
2021-06-03,"1,650.00","1,654.00","1,654.00","1,630.00",0.16K,-0.48%
2021-06-02,"1,658.00","1,654.00","1,658.00","1,645.00",0.08K,0.24%
2021-06-01,"1,654.00","1,665.00","1,665.00","1,648.00",0.00K,-0.66%
2021-05-28,"1,665.00","1,658.00","1,665.00","1,658.00",0.00K,0.00%
2021-05-27,"1,665.00","1,620.00","1,665.00","1,620.00",0.05K,-0.30%
2021-05-26,"1,670.00","1,672.00","1,680.00","1,665.00",0.40K,10.23%
2021-05-25,"1,515.00","1,515.00","1,515.00","1,515.00",0.03K,0.20%
2021-05-24,"1,512.00","1,510.00","1,512.00","1,510.00",0.00K,0.00%
2021-05-21,"1,512.00","1,512.00","1,512.00","1,512.00",-,0.00%
2021-05-20,"1,512.00","1,510.00","1,512.00","1,510.00",0.03K,0.20%
2021-05-19,"1,509.00","1,507.00","1,507.00","1,507.00",0.13K,0.87%
2021-05-18,"1,496.00","1,496.00","1,496.00","1,496.00",-,0.40%
2021-05-17,"1,490.00","1,500.00","1,500.00","1,485.00",0.01K,-1.00%
2021-05-14,"1,505.00","1,505.00","1,505.00","1,505.00",0.00K,0.33%
2021-05-13,"1,500.00","1,501.00","1,501.00","1,498.00",0.01K,-0.66%
2021-05-12,"1,510.00","1,506.00","1,506.00","1,506.00",0.15K,-0.59%
2021-05-11,"1,519.00","1,519.00","1,519.00","1,519.00",0.00K,0.00%
2021-05-10,"1,519.00","1,519.00","1,519.00","1,519.00",-,0.00%
2021-05-07,"1,519.00","1,519.00","1,520.00","1,519.00",0.03K,0.00%
2021-05-06,"1,519.00","1,514.00","1,519.00","1,514.00",0.13K,0.73%
2021-05-05,"1,508.00","1,504.00","1,504.00","1,504.00",0.07K,0.27%
2021-05-04,"1,504.00","1,504.00","1,504.00","1,504.00",0.13K,0.80%
2021-05-03,"1,492.00","1,492.00","1,492.00","1,492.00",0.01K,-0.86%
2021-04-30,"1,505.00","1,500.00","1,505.00","1,495.00",0.14K,0.33%
2021-04-29,"1,500.00","1,491.00","1,500.00","1,490.00",0.17K,0.00%
2021-04-28,"1,500.00","1,490.00","1,491.00","1,490.00",0.21K,10.29%
2021-04-27,"1,360.00","1,360.00","1,360.00","1,360.00",-,0.00%
2021-04-26,"1,360.00","1,360.00","1,360.00","1,360.00",0.00K,-0.22%
2021-04-23,"1,363.00","1,359.00","1,359.00","1,358.00",0.00K,0.00%
2021-04-22,"1,363.00","1,360.00","1,361.00","1,360.00",0.09K,0.22%
2021-04-21,"1,360.00","1,360.00","1,360.00","1,353.00",0.06K,0.44%
2021-04-20,"1,354.00","1,362.00","1,362.00","1,350.00",0.02K,-0.73%
2021-04-19,"1,364.00","1,361.00","1,364.00","1,360.00",0.04K,0.37%
2021-04-16,"1,359.00","1,360.00","1,360.00","1,359.00",0.00K,0.00%
2021-04-15,"1,359.00","1,358.00","1,362.00","1,351.00",0.05K,0.07%
2021-04-14,"1,358.00","1,355.00","1,360.00","1,355.00",0.06K,0.07%
2021-04-13,"1,357.00","1,357.00","1,357.00","1,357.00",0.14K,0.22%
2021-04-12,"1,354.00","1,353.00","1,353.00","1,353.00",0.50K,0.30%
2021-04-09,"1,350.00","1,350.00","1,350.00","1,350.00",-,0.00%
2021-04-08,"1,350.00","1,345.00","1,352.00","1,345.00",0.06K,-0.37%
2021-04-07,"1,355.00","1,361.00","1,361.00","1,348.00",0.03K,-0.37%
2021-04-06,"1,360.00","1,359.00","1,360.00","1,359.00",0.01K,1.12%
2021-04-05,"1,345.00","1,345.00","1,345.00","1,345.00",-,0.00%
2021-04-01,"1,345.00","1,348.00","1,348.00","1,345.00",0.00K,-0.22%
