name,modelname,split,RMSE,R2 Score,Adj R2 Score,time
1301.TW,LSTM,Train,0.9721790046774411,0.9962738778431461,0.9962625276015892,17.63678002357483
1301.TW,LSTM,Test,1.942221395575791,0.8734361506801419,0.8655259100976508,17.63678002357483
1301.TW,GRU,Train,0.9804231245512086,0.9962104142190189,0.9961988706591987,3.351257085800171
1301.TW,GRU,Test,1.9077615217166626,0.8778874230438262,0.8702553869840652,3.351257085800171
1303.TW,LSTM,Train,0.8912670431339974,0.9936181760116181,0.9935987361648301,4.228341341018677
1303.TW,LSTM,Test,1.9884804136881353,0.9199978756667362,0.9149977428959072,4.228341341018677
1303.TW,GRU,Train,0.7924906224078043,0.9949543469914699,0.9949389772912699,3.573032855987549
1303.TW,GRU,Test,1.577518988856244,0.9496490033753922,0.9465020660863541,3.573032855987549
1304.TW,LSTM,Train,0.3306295089558444,0.9853128274167217,0.9852680884227778,4.580962419509888
1304.TW,LSTM,Test,3.7761416647813357,0.6819315898820941,0.662052314249725,4.580962419509888
1304.TW,GRU,Train,0.2604503212480986,0.9908860887024833,0.9908583265705936,3.6359121799468994
1304.TW,GRU,Test,2.5680597979098674,0.8528926929851546,0.8436984862967267,3.6359121799468994
1305.TW,LSTM,Train,0.617173037782063,0.9908075804186168,0.9907795791405186,4.672119617462158
1305.TW,LSTM,Test,1.383460932710469,0.9462049131782594,0.9428427202519006,4.672119617462158
1305.TW,GRU,Train,0.3591848160427877,0.9968864782759942,0.996876994093197,3.6938486099243164
1305.TW,GRU,Test,1.8147222773032916,0.9074387620152111,0.9016536846411618,3.6938486099243164
1308.TW,LSTM,Train,0.3215963639054971,0.9812764186584404,0.9812193842505245,4.577639818191528
1308.TW,LSTM,Test,1.2985434772379483,0.9334998290091062,0.9293435683221754,4.577639818191528
1308.TW,GRU,Train,0.2843415104356177,0.9853631644532129,0.9853185787922785,3.4987294673919678
1308.TW,GRU,Test,1.5641529495350461,0.9035131418437686,0.8974827132090042,3.4987294673919678
1309.TW,LSTM,Train,0.3250384023792856,0.9943894408555265,0.9943723503794555,4.211575031280518
1309.TW,LSTM,Test,2.8272215522443327,0.7335153031359574,0.7168600095819547,4.211575031280518
1309.TW,GRU,Train,0.32657548066400033,0.9943362523210929,0.9943189998259875,3.619232416152954
1309.TW,GRU,Test,3.2739119083528783,0.6426559691173135,0.6203219671871456,3.619232416152954
1312.TW,LSTM,Train,0.4395373623962334,0.993506981853641,0.9934872032953187,4.781216144561768
1312.TW,LSTM,Test,0.8705500800655644,0.9267034189598057,0.9221223826447935,4.781216144561768
1312.TW,GRU,Train,0.40480019388462785,0.9944927293700295,0.9944759535238982,3.639599084854126
1312.TW,GRU,Test,0.847452904003123,0.9305411923590394,0.9262000168814793,3.639599084854126
1313.TW,LSTM,Train,0.19371605737300643,0.9934524180866403,0.9934324733201505,4.717541933059692
1313.TW,LSTM,Test,1.1312974993602327,0.9458081225132992,0.9424211301703803,4.717541933059692
1313.TW,GRU,Train,0.17794013427148445,0.994475442066717,0.9944586135612632,3.6675307750701904
1313.TW,GRU,Test,1.68535972785099,0.8797276411439694,0.8722106187154675,3.6675307750701904
1314.TW,LSTM,Train,0.33645505736245235,0.9944954173171698,0.994478649658867,4.556720018386841
1314.TW,LSTM,Test,0.4810375165643286,0.9236746920268154,0.9189043602784914,4.556720018386841
1314.TW,GRU,Train,0.3047555578466668,0.9954837963427503,0.9954700394125499,3.352325439453125
1314.TW,GRU,Test,0.45954195608711634,0.9303436046065862,0.9259900798944978,3.352325439453125
1326.TW,LSTM,Train,1.2107876100371888,0.9947085087161712,0.9946923901613467,4.417469263076782
1326.TW,LSTM,Test,1.7644270487292684,0.773695722325202,0.7595517049705272,4.417469263076782
1326.TW,GRU,Train,1.0186050709801744,0.9962549830678286,0.9962435752703851,3.501605987548828
1326.TW,GRU,Test,1.4480665207120087,0.8475728505065951,0.8380461536632573,3.501605987548828
2002.TW,LSTM,Train,0.37352360726248707,0.9670702145260918,0.9669481016009722,3.955862045288086
2002.TW,LSTM,Test,1.9519952176731186,0.9017153007266591,0.8964966441280746,3.955862045288086
2002.TW,GRU,Train,0.21940824551551663,0.9886378980897453,0.9885957642136876,3.289397716522217
2002.TW,GRU,Test,1.3770390909833727,0.9510873739676137,0.9484902433818232,3.289397716522217
2006.TW,LSTM,Train,0.2878365423161319,0.9939637240174554,0.993941339804912,3.9301767349243164
2006.TW,LSTM,Test,2.527059500745164,0.9046060979002534,0.899540934956904,3.9301767349243164
2006.TW,GRU,Train,0.26284367509114515,0.9949664743112742,0.9949478085794248,3.212207555770874
2006.TW,GRU,Test,2.5243304771885047,0.9048120253480415,0.8997577966054596,3.212207555770874
2010.TW,LSTM,Train,0.11352079238603249,0.9885044486237244,0.9884618198794366,3.9926345348358154
2010.TW,LSTM,Test,2.664202644487839,0.690954249798805,0.6745447409385645,3.9926345348358154
2010.TW,GRU,Train,0.11877511975979493,0.987415675556885,0.9873690093352171,3.2238054275512695
2010.TW,GRU,Test,1.51388827838166,0.9002125459274986,0.8949140970386932,3.2238054275512695
2014.TW,LSTM,Train,0.26321841206008645,0.9897611863962624,0.9897232179898209,3.9649789333343506
2014.TW,LSTM,Test,6.928218371872354,0.7847426861067736,0.7733130942186376,3.9649789333343506
2014.TW,GRU,Train,0.23736347835987412,0.9916738363080385,0.9916429605465108,3.3806111812591553
2014.TW,GRU,Test,6.017081740724531,0.8376371805636733,0.8290161459033374,3.3806111812591553
2023.TW,LSTM,Train,0.16100743936038914,0.9900787690184618,0.9900419782978875,4.196181297302246
2023.TW,LSTM,Test,1.9500972014434343,0.8431832050374739,0.834856649552738,4.196181297302246
2023.TW,GRU,Train,0.15643710020801394,0.990634021520217,0.9905992898324056,3.503166913986206
2023.TW,GRU,Test,1.4490400754284727,0.9134153650927846,0.9088179508499237,3.503166913986206
2027.TW,LSTM,Train,0.5471450139081109,0.9970911946340332,0.9970804079639493,4.182958602905273
2027.TW,LSTM,Test,2.2467494372431567,0.9308198182074578,0.9271465342184733,4.182958602905273
2027.TW,GRU,Train,0.5094391811634676,0.9974782938803857,0.9974689426834031,3.4308836460113525
2027.TW,GRU,Test,2.0218209543920183,0.943978104014541,0.9410034900684104,3.4308836460113525
2028.TW,LSTM,Train,0.286477229911141,0.9916454792896428,0.991614498372299,4.1825761795043945
2028.TW,LSTM,Test,4.510733413439994,0.7895862589732221,0.7784138479452516,4.1825761795043945
2028.TW,GRU,Train,0.2332658111563346,0.9944608451018706,0.9944403043544116,3.488410234451294
2028.TW,GRU,Test,2.9076675731490322,0.9125682257041392,0.9079258306087837,3.488410234451294
2030.TW,LSTM,Train,0.2264219950037999,0.9857345698663627,0.9856816696310092,3.9190385341644287
2030.TW,LSTM,Test,1.9753270566524948,0.7949119266765334,0.784022294464668,3.9190385341644287
2030.TW,GRU,Train,0.21186283916412704,0.9875101507869475,0.9874638349060585,3.5276122093200684
2030.TW,GRU,Test,1.4757699605531165,0.8855279016943474,0.8794497371825428,3.5276122093200684
2031.TW,LSTM,Train,0.6356627477654431,0.9942190065749722,0.9941975690220982,3.99969482421875
2031.TW,LSTM,Test,5.745917156106913,0.8299902590446491,0.8209631931532145,3.99969482421875
2031.TW,GRU,Train,0.5704960462381364,0.9953435576666454,0.9953262902661508,3.268717050552368
2031.TW,GRU,Test,3.9855268421621157,0.9182050378790796,0.9138619425452255,3.268717050552368
2038.TW,LSTM,Train,0.216685094454726,0.9881154436792132,0.9880713723949581,3.88582181930542
2038.TW,LSTM,Test,6.509537375517689,0.6998400420148262,0.6839023451306576,3.88582181930542
2038.TW,GRU,Train,0.2364124195052753,0.9858529638879392,0.9858005026909847,3.3373117446899414
2038.TW,GRU,Test,5.4358565379026675,0.7906907217916359,0.779576954807121,3.3373117446899414
2603.TW,LSTM,Train,0.42821661880743417,0.9768277476381936,0.976716633960783,4.281709909439087
2603.TW,LSTM,Test,36.81163451338279,-0.004180865777778875,-0.1064585465514416,4.281709909439087
2603.TW,GRU,Train,0.41137171891954777,0.9786149589629386,0.978512415174182,3.4341039657592773
2603.TW,GRU,Test,17.997221838286162,0.759977091516141,0.7355303138001924,3.4341039657592773
2605.TW,LSTM,Train,0.2948786091173301,0.9851788365054087,0.9851077672820258,4.384965658187866
2605.TW,LSTM,Test,2.2872401981091612,0.8763750675219704,0.8637836392140229,4.384965658187866
2605.TW,GRU,Train,0.2942888907009485,0.9852380593797863,0.9851672741370564,3.5102012157440186
2605.TW,GRU,Test,2.241246467923702,0.8812969817534874,0.8692068595246759,3.5102012157440186
2606.TW,LSTM,Train,1.0188601100836552,0.9563934208360576,0.9561843221565444,4.662524223327637
2606.TW,LSTM,Test,5.991974549569244,0.8214359566037497,0.8032488781096871,4.662524223327637
2606.TW,GRU,Train,0.5073463060639481,0.9891873547140256,0.9891355068072489,3.7041990756988525
2606.TW,GRU,Test,4.401241621482391,0.9036604950408744,0.8938481380542969,3.7041990756988525
2609.TW,LSTM,Train,0.6933054083655161,0.9944117828917033,0.9943849867329451,4.9448771476745605
2609.TW,LSTM,Test,27.23246326838728,0.5606436097562468,0.5158943477869757,4.9448771476745605
2609.TW,GRU,Train,0.6042321405340104,0.9957554495436917,0.9957350964246771,3.7255427837371826
2609.TW,GRU,Test,15.796736387404964,0.8521647987797396,0.837107509766565,3.7255427837371826
2615.TW,LSTM,Train,0.5303267422293881,0.9879646893379431,0.9879069786067824,4.520748138427734
2615.TW,LSTM,Test,60.91731636894185,0.0012039135873859186,-0.10052531743612114,4.520748138427734
2615.TW,GRU,Train,0.5602522550960505,0.9865680999899044,0.9865036924484436,3.613290548324585
2615.TW,GRU,Test,32.02968365072663,0.7238782807173358,0.6957547722718793,3.613290548324585
2617.TW,LSTM,Train,0.30597952021290975,0.9922511053483954,0.9922139484865089,4.406354188919067
2617.TW,LSTM,Test,4.4423988058557455,0.8680885068719955,0.8546530770163654,4.406354188919067
2617.TW,GRU,Train,0.3134362144291719,0.9918688244001428,0.9918298344561156,3.370527505874634
2617.TW,GRU,Test,4.395141450690982,0.870880079602059,0.8577289765985651,3.370527505874634
2636.TW,LSTM,Train,0.4922463064030934,0.9925037827929315,0.9924678375491313,4.335667610168457
2636.TW,LSTM,Test,36.016419798713855,0.405947269778281,0.3454418991075503,4.335667610168457
2636.TW,GRU,Train,0.51454926029197,0.9918091084419637,0.9917698321528885,3.412346363067627
2636.TW,GRU,Test,18.64863142049362,0.8407359332067665,0.8245145930704187,3.412346363067627
2637.TW,LSTM,Train,0.33499539034077497,0.9819797626285967,0.9818933534694487,4.296011447906494
2637.TW,LSTM,Test,12.718448269800902,0.6760286734898941,0.643031593937939,4.296011447906494
2637.TW,GRU,Train,0.2962330100664232,0.9859087426952186,0.9858411734579244,3.39658784866333
2637.TW,GRU,Test,7.828942657833715,0.8772434853044164,0.8647405069557922,3.39658784866333
5608.TW,LSTM,Train,0.42617314353355473,0.9979364805964938,0.9979265857780811,4.274237394332886
5608.TW,LSTM,Test,3.8314895480318416,0.9295624512095212,0.9223882564253058,4.274237394332886
5608.TW,GRU,Train,0.3628501384968761,0.9985041400775998,0.9984969672532117,3.3764426708221436
5608.TW,GRU,Test,2.5371305187304585,0.9691145068371482,0.965968762163154,3.3764426708221436
5609.TWO,LSTM,Train,0.47383970480761234,0.997500192432525,0.9974882055610157,4.2231285572052
5609.TWO,LSTM,Test,13.42437926833991,0.678340736195518,0.6455791445117283,4.2231285572052
5609.TWO,GRU,Train,0.4575385676996589,0.9976692316459468,0.9976580553373615,3.8858845233917236
5609.TWO,GRU,Test,9.183217821819772,0.8494789073790321,0.8341480553528224,3.8858845233917236
