name,modelname,split,RMSE,R2 Score,Adj R2 Score,time
1301.TW,LSTM,Train,1.0503358712471877,0.9956506833559501,0.9956126149389344,18.586390733718872
1301.TW,LSTM,Test,1.893126983893417,0.8797537066223658,0.8554615261420357,18.586390733718872
1301.TW,GRU,Train,0.971362252836686,0.9962801355218192,0.996247576532951,5.151799440383911
1301.TW,GRU,Test,1.958604678841324,0.8712919250868124,0.845290293791219,5.151799440383911
1303.TW,LSTM,Train,0.7367861105098469,0.9956387398684154,0.9956005669132156,6.078143358230591
1303.TW,LSTM,Test,1.697488188555023,0.9416994818357874,0.9299215993783707,6.078143358230591
1303.TW,GRU,Train,0.7521230926641644,0.9954552818111798,0.9954155030961792,5.408249139785767
1303.TW,GRU,Test,1.8041149073246905,0.9341452243705799,0.9208412292939294,5.408249139785767
1304.TW,LSTM,Train,0.2513883159445339,0.9915092675130552,0.9914349503796903,6.132272243499756
1304.TW,LSTM,Test,3.781701935802186,0.6809941932881682,0.6165485757706265,6.132272243499756
1304.TW,GRU,Train,0.2565576183955879,0.9911564876574539,0.9910790827354184,5.003129720687866
1304.TW,GRU,Test,2.854386444169088,0.8182604339558432,0.7815453701085389,5.003129720687866
1305.TW,LSTM,Train,0.3908120470445486,0.9963140301263239,0.9962817678079547,6.332843542098999
1305.TW,LSTM,Test,1.5550735991008933,0.9320310269589143,0.9182999212940485,6.332843542098999
1305.TW,GRU,Train,0.359100236760579,0.996887944668354,0.9968607056720157,5.262904167175293
1305.TW,GRU,Test,1.9823462260427682,0.8895494522726054,0.8672362103074752,5.262904167175293
1308.TW,LSTM,Train,0.2670931074929847,0.9870850707501694,0.9869720297939345,6.203364372253418
1308.TW,LSTM,Test,1.5413755279433692,0.906302787638652,0.8873740578686827,6.203364372253418
1308.TW,GRU,Train,0.2643793434210131,0.9873461786673515,0.9872354231195821,5.2050628662109375
1308.TW,GRU,Test,1.679212494154597,0.8887958285907888,0.8663303394172107,5.2050628662109375
1309.TW,LSTM,Train,0.3099653569407007,0.9948977343426426,0.9948530755622719,6.138203859329224
1309.TW,LSTM,Test,3.4121307564531143,0.6118461525802454,0.5334312339095879,6.138203859329224
1309.TW,GRU,Train,0.3030132240007909,0.9951240425055062,0.9950813645405654,4.935433626174927
1309.TW,GRU,Test,3.614246466308859,0.5645000636380364,0.47652027851440737,4.935433626174927
1312.TW,LSTM,Train,0.4063105354689943,0.9944515565023214,0.9944029924454489,6.14785361289978
1312.TW,LSTM,Test,0.8545358875544308,0.9293752641878219,0.9151076407914223,6.14785361289978
1312.TW,GRU,Train,0.3986063019956775,0.9946599748931323,0.9946132350672516,5.004902601242065
1312.TW,GRU,Test,0.8213650444889219,0.9347517866133246,0.9215703293634911,5.004902601242065
1313.TW,LSTM,Train,0.17162836325337483,0.9948604180769867,0.9948154326772228,5.970708608627319
1313.TW,LSTM,Test,1.944815576042339,0.8398461280099792,0.8074918104362376,5.970708608627319
1313.TW,GRU,Train,0.1752988447729292,0.9946382346351125,0.9945913045225095,4.946615695953369
1313.TW,GRU,Test,1.8331891855733684,0.8577031960550676,0.8289563669752833,4.946615695953369
1314.TW,LSTM,Train,0.29454584970893266,0.9957813249254871,0.9957443999795395,6.1050944328308105
1314.TW,LSTM,Test,0.4431423042372882,0.9352265376008871,0.9221409896414704,6.1050944328308105
1314.TW,GRU,Train,0.29448021413677306,0.9957832049843833,0.9957462964940935,5.377887487411499
1314.TW,GRU,Test,0.44414355126912436,0.934933508652894,0.9217887629262059,5.377887487411499
1326.TW,LSTM,Train,1.1376695359875,0.9953283058398327,0.9952874157377744,6.280072450637817
1326.TW,LSTM,Test,1.7257251348736402,0.7835146321372803,0.739780214387236,6.280072450637817
1326.TW,GRU,Train,0.9889880280382398,0.996469597607418,0.9964386969300213,5.270416975021362
1326.TW,GRU,Test,1.4154582853864213,0.8543604133262962,0.8249382746043359,5.270416975021362
2002.TW,LSTM,Train,0.22927865178545626,0.9840813076418609,0.9839419755424461,6.164288282394409
2002.TW,LSTM,Test,3.1257033510233554,0.7479864363790663,0.6970746053445342,6.164288282394409
2002.TW,GRU,Train,0.21894182581851904,0.9854843126532566,0.9853572606852327,5.295979022979736
2002.TW,GRU,Test,1.7676343034278632,0.9194040381863378,0.9031220256987292,5.295979022979736
2006.TW,LSTM,Train,0.2550853494552859,0.9936409004052136,0.9935852408901608,6.043882846832275
2006.TW,LSTM,Test,2.7003341997791357,0.8910757031659269,0.869070794714599,6.043882846832275
2006.TW,GRU,Train,0.24579801652616698,0.9940955246409652,0.9940438443314769,5.279552936553955
2006.TW,GRU,Test,3.4619461553078748,0.8209681379596696,0.7848000850222292,5.279552936553955
2010.TW,LSTM,Train,0.10505013926341118,0.9921105594516528,0.9920415052674222,5.938519716262817
2010.TW,LSTM,Test,3.9192115280716884,0.33121630300902327,0.19610848543508863,5.938519716262817
2010.TW,GRU,Train,0.1096115364546769,0.9914105477649815,0.9913353665637997,5.244095802307129
2010.TW,GRU,Test,2.8375545546879057,0.6494284014433691,0.5786058562804134,5.244095802307129
2014.TW,LSTM,Train,0.21486305670253594,0.9917377510427645,0.9916654337652395,6.169551134109497
2014.TW,LSTM,Test,6.191417648353072,0.8280924373300392,0.7933636367906532,6.169551134109497
2014.TW,GRU,Train,0.21755855376399644,0.9915291483261299,0.991455005204258,5.350033521652222
2014.TW,GRU,Test,8.204559491389766,0.6981262710794177,0.63714167937829,5.350033521652222
2023.TW,LSTM,Train,0.14386279589092013,0.9917774581523974,0.9917054884206897,6.212023973464966
2023.TW,LSTM,Test,2.6221326880965377,0.7164762868683352,0.6591987690639585,6.212023973464966
2023.TW,GRU,Train,0.14793623184261687,0.9913052281381246,0.9912291251021345,5.28050422668457
2023.TW,GRU,Test,2.193754355923493,0.8015477458113243,0.7614563813287635,5.28050422668457
2027.TW,LSTM,Train,0.4303547966253773,0.9981733605386298,0.9981573724470643,6.1718456745147705
2027.TW,LSTM,Test,2.1479762466509627,0.9367688052893556,0.9239948265599325,6.1718456745147705
2027.TW,GRU,Train,0.4340310168675251,0.9981420200452323,0.9981257576386261,5.0616700649261475
2027.TW,GRU,Test,2.0222995459732958,0.9439515782780176,0.9326286647988292,5.0616700649261475
2028.TW,LSTM,Train,0.27376399302754123,0.9910885892593972,0.9910105900406612,5.722811937332153
2028.TW,LSTM,Test,6.11988087257679,0.6126837649274381,0.5344380608723751,5.722811937332153
2028.TW,GRU,Train,0.25657090411436423,0.9921727607269637,0.9921042509740269,4.943926572799683
2028.TW,GRU,Test,4.079848586620108,0.8278655334948819,0.7930908937968782,4.943926572799683
2030.TW,LSTM,Train,0.19987272929332567,0.9906361075697557,0.9905541478985939,6.236020088195801
2030.TW,LSTM,Test,2.139562746993304,0.7593907309504866,0.7107827978091708,6.236020088195801
2030.TW,GRU,Train,0.19735296600882896,0.990870718095265,0.990790811907915,4.893358469009399
2030.TW,GRU,Test,1.6162870544764818,0.8626909150624801,0.8349517059841932,4.893358469009399
2031.TW,LSTM,Train,0.5408442256733859,0.9953241448026664,0.9952832182801514,6.0174384117126465
2031.TW,LSTM,Test,5.339547808356948,0.8531871555194631,0.8235279950183445,6.0174384117126465
2031.TW,GRU,Train,0.4874022239053587,0.996202553654821,0.9961693156124124,5.2090935707092285
2031.TW,GRU,Test,4.955021155318936,0.8735711834496915,0.8480300083890231,5.2090935707092285
2038.TW,LSTM,Train,0.19567767337516856,0.9914294994509735,0.9913544841288814,6.1393210887908936
2038.TW,LSTM,Test,5.062862241995223,0.818429716286533,0.7817488508898731,6.1393210887908936
2038.TW,GRU,Train,0.2467042827652724,0.9863768657363134,0.9862576260491039,5.002763509750366
2038.TW,GRU,Test,8.248295000929785,0.5180734207900535,0.4207145158991552,5.002763509750366
2603.TW,LSTM,Train,0.36291216487625316,0.9833565154561008,0.9832108394425875,5.754044771194458
2603.TW,LSTM,Test,33.307629656872535,0.17789142883782583,0.011808889209103834,5.754044771194458
2603.TW,GRU,Train,0.46649581585936484,0.9724997438028328,0.9722590413415885,4.911843299865723
2603.TW,GRU,Test,28.754818719814164,0.3872786696051195,0.26349658265665876,4.911843299865723
2605.TW,LSTM,Train,0.2747148514714978,0.9871364736016953,0.9870238825610099,5.9413161277771
2605.TW,LSTM,Test,2.789856698789433,0.8160726421469409,0.7789156001564239,5.9413161277771
2605.TW,GRU,Train,0.2757648468542633,0.9870379530870563,0.9869244997223916,4.8456666469573975
2605.TW,GRU,Test,2.601777672103001,0.8400357702166694,0.8077197641998349,4.8456666469573975
2606.TW,LSTM,Train,0.5117227102810733,0.9890000090510007,0.9889037290426944,6.034149169921875
2606.TW,LSTM,Test,6.369652393863604,0.79821656573678,0.7574522355825941,6.034149169921875
2606.TW,GRU,Train,0.496322624095598,0.9896521272766486,0.9895615550865099,4.840096473693848
2606.TW,GRU,Test,5.221942404877557,0.864381727813554,0.8369840970688175,4.840096473693848
2609.TW,LSTM,Train,0.6314615027502203,0.9953642728484452,0.9953236975560902,5.977081537246704
2609.TW,LSTM,Test,26.330708562036577,0.5892588618515289,0.506280854144767,5.977081537246704
2609.TW,GRU,Train,0.5436544959284546,0.9965638666835461,0.996533791118413,5.2469751834869385
2609.TW,GRU,Test,14.042943758670392,0.8831686323795832,0.8595663358906102,5.2469751834869385
2615.TW,LSTM,Train,0.4785578183626049,0.9901997069548181,0.9901139275846196,6.0656421184539795
2615.TW,LSTM,Test,60.75311246206341,0.006581230957222406,-0.19410942945545995,6.0656421184539795
2615.TW,GRU,Train,0.5679822896526795,0.9861948926251759,0.9860740601755057,5.0397279262542725
2615.TW,GRU,Test,40.395543402185005,0.560800151482834,0.47207290935815405,5.0397279262542725
2617.TW,LSTM,Train,0.28731717485147656,0.9931675227410096,0.9931077198765983,5.888669013977051
2617.TW,LSTM,Test,6.070705563106775,0.7536651286293857,0.7039005081504738,5.888669013977051
2617.TW,GRU,Train,0.2862725421200366,0.993217116449859,0.9931577476660504,5.029700517654419
2617.TW,GRU,Test,4.291319650984279,0.8769081628178795,0.8520411250033098,5.029700517654419
2636.TW,LSTM,Train,0.5187338252016249,0.9916753428766549,0.9916024793569758,6.214291334152222
2636.TW,LSTM,Test,44.504727573227406,0.09293965487860645,-0.09030485928733167,6.214291334152222
2636.TW,GRU,Train,0.5304753602280381,0.9912942208559921,0.9912180214761758,5.256394624710083
2636.TW,GRU,Test,26.17177355390787,0.6863175633319989,0.6229473741061401,5.256394624710083
2637.TW,LSTM,Train,0.3722808522555563,0.9777451732251992,0.9775503826188552,6.149261236190796
2637.TW,LSTM,Test,16.275446759961095,0.4694770421877852,0.3623006870742065,6.149261236190796
2637.TW,GRU,Train,0.34269663501859565,0.9811416997834844,0.980976638074806,5.073111534118652
2637.TW,GRU,Test,11.549106077800527,0.7328623863091017,0.6788951916240717,5.073111534118652
5608.TW,LSTM,Train,0.5023710537100778,0.9971326179791286,0.9971075205434973,5.7571330070495605
