name,modelname,split,RMSE,R2 Score,Adj R2 Score,time
1301.TW,LSTM,Train,1.132286423171231,0.994945511142393,0.9949433173538264,16.665876865386963
1301.TW,LSTM,Test,2.201593177641234,0.8373753819874215,0.8359972072585014,16.665876865386963
1301.TW,GRU,Train,0.9915552001838307,0.9961238691620934,0.9961221868136394,3.3895485401153564
1301.TW,GRU,Test,1.9351043041219822,0.8743620163450555,0.8732972876700136,3.3895485401153564
1303.TW,LSTM,Train,1.0009252321061366,0.9919511766046069,0.9919476831916748,4.159392356872559
1303.TW,LSTM,Test,2.0755022750911865,0.9128423805963218,0.9121037567030703,4.159392356872559
1303.TW,GRU,Train,0.7648992407271469,0.9952995701391613,0.9952975300220341,3.341480016708374
1303.TW,GRU,Test,1.434956747194057,0.9583383427456479,0.9579852778536618,3.341480016708374
1304.TW,LSTM,Train,0.3077537233613944,0.9872748868827844,0.9872693638302161,4.34107780456543
1304.TW,LSTM,Test,2.003861871120126,0.9104306281433596,0.9096715656699983,4.34107780456543
1304.TW,GRU,Train,0.2574646655162809,0.9910938446420965,0.991089979123278,3.530684232711792
1304.TW,GRU,Test,1.4410970712933882,0.95367553218349,0.9532829519477568,3.530684232711792
1305.TW,LSTM,Train,0.426901908657528,0.9956018290066797,0.9955999200782972,4.456258773803711
1305.TW,LSTM,Test,1.5649736279102877,0.9311628551893019,0.9305794895553129,4.456258773803711
1305.TW,GRU,Train,0.3512805549900444,0.9970220037560757,0.9970207112229837,3.666900157928467
1305.TW,GRU,Test,1.2857482845110262,0.9535355566940904,0.9531417902253962,3.666900157928467
1308.TW,LSTM,Train,0.2887215923809806,0.9849087524977063,0.9849022024770889,4.493896007537842
1308.TW,LSTM,Test,1.2587953601380724,0.937508640389045,0.9369790525957319,4.493896007537842
1308.TW,GRU,Train,0.265738925625039,0.9872156978898217,0.9872101491475863,3.6926705837249756
1308.TW,GRU,Test,1.1399845781454343,0.9487483688298112,0.9483140329724367,3.6926705837249756
1309.TW,LSTM,Train,0.34910649622563555,0.9935277889941662,0.993524979874806,4.277412414550781
1309.TW,LSTM,Test,2.6261979957018045,0.7700637461973194,0.7681151338769577,4.277412414550781
1309.TW,GRU,Train,0.3272340349407731,0.9943133865950576,0.9943109184468784,3.3566677570343018
1309.TW,GRU,Test,1.927498506379693,0.8761372732300954,0.8750875891049267,3.3566677570343018
1312.TW,LSTM,Train,0.46573764539335644,0.9927098297142956,0.9927066655778868,4.37513279914856
1312.TW,LSTM,Test,0.8303474617611988,0.9333168834804344,0.9327517723234889,4.37513279914856
1312.TW,GRU,Train,0.39650425602720046,0.9947161475035767,0.9947138541648196,3.3365907669067383
1312.TW,GRU,Test,0.7817765178300087,0.9408899304024234,0.9403889976092236,3.3365907669067383
1313.TW,LSTM,Train,0.1963482667827534,0.9932732727433964,0.9932703531569135,4.168565988540649
1313.TW,LSTM,Test,0.9397164846047108,0.9626083791128344,0.9622915009697228,4.168565988540649
1313.TW,GRU,Train,0.17378950225712705,0.9947301681895352,0.9947278809361453,3.4988131523132324
1313.TW,GRU,Test,0.9072055711565902,0.965150865164518,0.9648555335133698,3.4988131523132324
1314.TW,LSTM,Train,0.2989761509498129,0.9956534632080223,0.9956515766903175,4.2119221687316895
1314.TW,LSTM,Test,0.4256849617530245,0.9402294477258317,0.9397229176218134,4.2119221687316895
1314.TW,GRU,Train,0.2948108994822821,0.9957737291686111,0.9957718948496739,3.3246166706085205
1314.TW,GRU,Test,0.4130395272519352,0.9437277940423254,0.9432509109409892,3.3246166706085205
1326.TW,LSTM,Train,1.1870254271016591,0.994914166048059,0.9949119586548507,4.3473193645477295
1326.TW,LSTM,Test,1.6851528940534357,0.7935742442009179,0.7918248733890614,4.3473193645477295
1326.TW,GRU,Train,1.017973370955102,0.9962596265697262,0.9962580031437582,3.3509445190429688
1326.TW,GRU,Test,1.428792120712315,0.8516035941340484,0.8503459974741674,3.3509445190429688
2002.TW,LSTM,Train,0.29020381833380143,0.9744972856456011,0.9744862167591626,4.2872185707092285
2002.TW,LSTM,Test,2.4040667054161737,0.8509192937966918,0.8496558979814096,4.2872185707092285
2002.TW,GRU,Train,0.22239529224720034,0.9850227776544359,0.9850162771239039,3.583984851837158
2002.TW,GRU,Test,1.5713357201305762,0.936310716355482,0.9357709766635793,3.583984851837158
2006.TW,LSTM,Train,0.3106906845790574,0.9905663215496988,0.9905622270712048,4.430975914001465
2006.TW,LSTM,Test,2.2928001952728274,0.9214724403753995,0.9208069525819708,4.430975914001465
2006.TW,GRU,Train,0.2506855565207144,0.9938583762026933,0.9938557105673647,3.55204176902771
2006.TW,GRU,Test,1.780857243654817,0.952625141764559,0.9522236599151062,3.55204176902771
2010.TW,LSTM,Train,0.13498804148717214,0.9869730272620132,0.9869673731939845,4.59881591796875
2010.TW,LSTM,Test,1.8841964890173912,0.8454245014327078,0.8441145395804426,4.59881591796875
2010.TW,GRU,Train,0.10655883982041353,0.9918823211164826,0.9918787978183561,3.564366340637207
2010.TW,GRU,Test,1.1936147763022849,0.9379678753004013,0.9374421793283708,3.564366340637207
2014.TW,LSTM,Train,0.33905619865925773,0.979426028110665,0.9794170984353658,4.347874641418457
2014.TW,LSTM,Test,10.639243597807885,0.49238284013517153,0.488080999797334,4.347874641418457
2014.TW,GRU,Train,0.20408179447504604,0.9925461051365876,0.9925428699391642,3.471087694168091
2014.TW,GRU,Test,3.519180195666706,0.9444610317648413,0.9439903625425095,3.471087694168091
2023.TW,LSTM,Train,0.17553773542990214,0.9877580643342546,0.987752750994122,4.256788730621338
2023.TW,LSTM,Test,1.966274703562395,0.8405705944357152,0.8392194977783908,4.256788730621338
2023.TW,GRU,Train,0.14313925753297216,0.9918599589155627,0.9918564259116198,3.365870475769043
2023.TW,GRU,Test,1.1033668080137395,0.9497981351342027,0.9493726956014418,3.365870475769043
2027.TW,LSTM,Train,0.5294555482531702,0.997235233112004,0.9972340331263756,4.307146072387695
2027.TW,LSTM,Test,2.4229527198249916,0.9195432836020424,0.9188614470223987,4.307146072387695
2027.TW,GRU,Train,0.44179062438374667,0.9980749921958179,0.9980741566889584,3.399393081665039
2027.TW,GRU,Test,1.9508975335395884,0.9478395466509053,0.9473975089106588,3.399393081665039
2028.TW,LSTM,Train,0.5874224601465683,0.9589706273108991,0.9589528194234472,4.196320295333862
2028.TW,LSTM,Test,4.021947492229234,0.832716724662816,0.8312990697870771,4.196320295333862
2028.TW,GRU,Train,0.2318697791398628,0.9936073326440519,0.9936045580488453,3.3301315307617188
2028.TW,GRU,Test,2.256989853883044,0.9473208267880848,0.9468743931167974,3.3301315307617188
2030.TW,LSTM,Train,0.24182075758465937,0.9862931877212324,0.9862872385839586,4.537200450897217
2030.TW,LSTM,Test,2.059376750476423,0.7770877712762773,0.7751986845921779,4.537200450897217
2030.TW,GRU,Train,0.18785659339087285,0.9917281586476296,0.9917245684387094,3.343785524368286
2030.TW,GRU,Test,1.1088537684138728,0.9353734691593868,0.9348257866946359,3.343785524368286
2031.TW,LSTM,Train,0.6314721925054246,0.9936258083540074,0.9936230417777722,4.310044050216675
2031.TW,LSTM,Test,4.296895862875488,0.9049253489101208,0.9041196315280031,4.310044050216675
